TIMESTAMPms	M81OPTICALFLOWflowcompmx	M81OPTICALFLOWflowcompmy
4916	0.015504	0.0134025
5017	0.00973162	0.0103319
5117	0.0259292	0.0266689
5212	0.0194781	0.0186809
5313	0.0161138	0.0178215
5413	0.0159302	0.0140826
5507	0.0134982	0.0144178
5607	0.0149495	0.0120829
5709	0.0132986	0.00770455
5803	0.0028083	0.000245341
5903	0.0123831	0.00658448
6003	0.0174214	0.0146786
6098	0.0163813	0.0149909
6200	0.0128938	0.0131644
6299	0.0137282	0.0141549
6394	0.0148492	0.0141715
6495	0.0167344	0.0156885
6595	0.00904288	0.0156435
6689	0.00539452	0.00227065
6790	0.020893	0.0227306
6891	0.0126621	0.0189857
6985	0.0130264	0.0114742
7084	0.0118088	0.0143612
7179	0.00755025	0.00856387
7281	0.0107782	0.0114293
7382	0.00952238	0.0114055
7475	0.0100154	0.0123697
7576	0.0118572	0.00758806
7677	0.00703209	0.0103403
7770	0.0110829	0.00397009
7872	0.0170863	0.0165359
7972	0.0144059	0.0152503
8066	0.0149383	0.0141365
8167	0.0100648	0.0123303
8267	0.00966792	0.0118417
8361	0.0118073	0.0139586
8463	0.00992175	0.0129402
8562	0.000980981	0.00163163
8657	0.0105756	0.00554087
8758	0.0127637	0.0135441
8858	0.0105109	0.0121388
8952	0.0112474	0.0134003
9052	0.0124387	0.0119639
9155	0.0122728	0.014302
9248	0.00970857	0.0122886
9349	0.00603664	0.00767388
9448	0.00330728	0.00181559
9543	0.00979007	0.00565369
9645	0.0143008	0.0148497
9744	0.0131516	0.013949
9839	0.00878256	0.00889958
9940	0.00793813	0.0108941
10040	0.00593313	0.00983795
10135	0.00676591	0.0084183
10235	0.00808844	0.00913856
10329	0.00835523	0.00924636
10430	0.00413394	0.00352642
10532	0.0124247	0.0125542
10624	0.0135204	0.00840982
10726	0.0116104	0.0127277
10826	0.0120631	0.0159218
10920	0.0117835	0.0133031
11021	0.0118949	0.00815608
11122	0.0107387	0.0114856
11215	0.00995435	0.0105034
11317	0.00132133	0.00180028
11417	0.0122137	0.0111156
11511	0.0170391	0.0094781
11612	0.0141137	0.0136795
11711	0.00994937	0.0106987
11806	0.0091271	0.0102059
11908	0.00808895	0.00492082
12007	0.0100375	0.00618498
12102	0.0132701	0.0126978
12203	0.00301889	0.00609291
12304	0.0140248	0.0131023
12397	0.0173677	0.0193618
12497	0.0151349	0.0146948
12599	0.0113544	0.0141708
12693	0.00580431	0.00668261
12795	0.00645448	0.00465299
12894	0.00726974	0.0109455
12989	0.00793674	0.00646901
13090	0.00593372	0.00544807
13189	0.00533017	0.00656906
13284	0.00816715	0.00996347
13385	0.0108326	0.0125314
13478	0.0110514	0.00734189
13580	0.0120736	0.0132648
13679	0.00938263	0.0108191
13774	0.00781662	0.0105609
13875	0.00799176	0.00495344
13977	0.00960159	0.0112599
14069	0.00265102	0.0052785
14171	0.00606067	0.00612016
14271	0.0144281	0.0134514
14365	0.0130844	0.0135786
14466	0.0112173	0.0115963
14567	0.012411	0.0145798
14660	0.00761171	0.00946813
14762	0.0072551	0.00482344
14862	0.00805287	0.00605595
14956	0.00830529	0.00495556
15057	0.00109074	0.00186034
15156	0.0113394	0.0126175
15252	0.0143429	0.01403
15353	0.0105527	0.0125156
15452	0.00723455	0.00408455
15547	0.00830427	0.00924367
15647	0.0064192	0.00876833
15749	0.00839923	0.0122628
15843	0.0108158	0.00746558
15944	0.00535139	0.0079868
16043	0.00463749	0.00754869
16138	0.00842567	0.00788708
16240	0.0145918	0.0088931
16339	0.0134657	0.0181827
16434	0.0126354	0.0138984
16535	0.0121743	0.01269
16628	0.0109153	0.0122577
16729	0.0107086	0.00454713
16829	0.00301461	0.00295748
16924	0.0049874	0.0027407
17025	0.012716	0.0133401
17127	0.0092081	0.00880325
17219	0.00841678	0.0104676
17321	0.00975188	0.010504
17420	0.0100519	0.0114868
17515	0.012924	0.0171387
17616	0.012718	0.0139501
17716	0.00597124	0.00811318
17810	0.0069834	0.00326324
17912	0.0138203	0.0141883
18011	0.0129245	0.0137292
18106	0.0170462	0.0156947
18207	0.0157744	0.00912115
18307	0.0109722	0.00702606
18401	0.00787502	0.00820126
18503	0.00771323	0.00954736
18602	0.00424669	0.00634462
18697	0.013676	0.00741145
18798	0.0171225	0.0126832
18898	0.0145136	0.0154806
18992	0.0124452	0.0142965
19094	0.00975304	0.0115191
19194	0.00822735	0.0144975
19288	0.00747825	0.00948122
19389	0.00323594	0.00506723
19488	0.0102475	0.0158287
19583	0.0112254	0.0128917
19685	0.0122421	0.0144374
19778	0.00945928	0.00533972
19879	0.0105841	0.0115509
19979	0.0106013	0.00932896
20073	0.00809966	0.00792457
20175	0.000604676	0.00316723
20274	0.0149832	0.00942436
20369	0.0142536	0.0147669
20470	0.0136767	0.0131628
20571	0.00850028	0.00634216
20664	0.00585526	0.00777935
20765	0.00840486	0.00957685
20865	0.0105457	0.0118635
20960	0.00728476	0.00725777
21061	0.00623893	0.00499462
21161	0.015728	0.0085238
21255	0.0125477	0.0134717
21357	0.0206803	0.0227831
21456	0.0120547	0.0120865
21551	0.00969497	0.0110712
21652	0.00655434	0.0065407
21751	0.00655299	0.00514246
21846	0.00270106	0.00382334
21948	0.00747514	0.00794981
22047	0.0148138	0.0134476
22142	0.0150365	0.00932845
22241	0.0102345	0.00759491
22343	0.00933118	0.0159861
22437	0.00786017	0.00967398
22539	0.0105659	0.0144644
22638	0.00859843	0.0171312
22733	0.00712354	0.00803561
22834	0.00203024	0.00114678
22927	0.00774284	0.00809
23027	0.0113535	0.0122187
23129	0.013518	0.00708452
23223	0.0141135	0.0154449
23324	0.0111559	0.0109248
23424	0.0108329	0.0102981
23518	0.00812829	0.00802038
23620	0.00561205	0.0074618
23721	0.000813228	0.00201766
23814	0.00951343	0.0095341
23915	0.0138431	0.0150271
24016	0.0122168	0.0120767
24109	0.0116089	0.00743014
24211	0.0113716	0.0130373
24311	0.00980267	0.0114172
24405	0.00925661	0.0100804
24507	0.0062733	0.00890194
24607	0.00257977	0.00473557
24701	0.0102974	0.00990822
24802	0.013956	0.0134972
24901	0.0125394	0.0143505
24996	0.0124986	0.00833616
25098	0.0123393	0.0122669
25197	0.0104134	0.0111095
25292	0.0107851	0.0117839
25392	0.0092603	0.0100079
25492	0.00759955	0.0106874
25587	0.00394591	0.00270089
25689	0.0160355	0.0135822
25789	0.0213219	0.01714
25883	0.0195991	0.0124762
25984	0.0169419	0.0189158
26077	0.0107879	0.0130381
26178	0.00933544	0.00861439
26280	0.00222148	0.000618902
26372	0.00800404	0.00795783
26474	0.0163098	0.0165391
26574	0.0162027	0.0158084
