TIMESTAMPms	M81OPTICALFLOWflowcompmx	M81OPTICALFLOWflowcompmy
2161	0.0135692	0.0132576
2262	0.0162755	0.0215562
2362	0.012239	0.0110415
2457	0.014875	0.00356294
2558	0.0184137	0.0167063
2658	0.00606574	0.0122146
2752	0.0168646	0.0115681
2852	0.0192388	0.0174212
2953	0.0179283	0.018208
3048	0.0131361	0.0157982
3148	0.010963	0.00889724
3248	0.0102367	0.0118428
3343	0.0104135	0.00925509
3444	0.0116741	0.0117226
3537	0.00800581	0.00532148
3639	0.0021382	0.00335501
3740	0.00965996	0.0104016
3833	0.0131939	0.0113179
3934	0.0145798	0.00870652
4035	0.0190832	0.0146589
4128	0.0132627	0.0140509
4230	0.0105421	0.00994901
4329	0.00818992	0.00764786
4424	0.0125964	0.0112346
4526	0.00877296	0.00817121
4625	0.000751396	0.000731277
4720	0.0159654	0.0152813
4820	0.0131836	0.00976241
4922	0.0125876	0.00914127
5015	0.009731	0.00883242
5116	0.0128315	0.0126846
5218	0.00852351	0.0105066
5311	0.00677377	0.00944032
5412	0.00651461	0.00813348
5511	0.00813866	0.00779117
5606	0.0036321	0.00487762
5708	0.00280709	0.00564758
5807	0.0187661	0.0208361
5902	0.0129628	0.00880067
6003	0.0109205	0.00791892
6104	0.0128542	0.0107905
6197	0.017259	0.0129616
6297	0.0120056	0.0115874
6398	0.00864256	0.010745
6493	0.00531629	0.00742369
6594	0.00271342	0.00296617
6687	0.00963608	0.00782885
6789	0.0184046	0.0117066
6890	0.00532839	0.00904095
6983	0.00586495	0.00706954
7084	0.00581756	0.00612898
7185	0.00860805	0.00991235
7278	0.0122127	0.0113014
7380	0.0116649	0.0110552
7480	0.00657245	0.00765605
7574	0.00518959	0.00365037
7674	0.00219155	0.00316279
7774	0.00516313	0.0056367
7869	0.0128445	0.00732556
7971	0.0114552	0.00907408
8071	0.0104276	0.00757735
8165	0.0113412	0.00892653
8265	0.0125762	0.0123488
8368	0.0116936	0.00865899
8461	0.00999505	0.00957664
8562	0.0104913	0.00913539
8661	0.00582781	0.00944036
8756	0.00277639	0.000566379
8858	0.00334635	0.00289501
8957	0.0177314	0.014736
9052	0.0145224	0.0139726
9153	0.00744697	0.00831614
9253	0.00871339	0.0131513
9347	0.0109954	0.00727566
9447	0.0104477	0.00918641
9549	0.0105105	0.016153
9643	0.00985512	0.00468971
9742	0.00610887	0.00379032
9837	0.00438819	0.00472997
9938	0.00263928	0.0012354
10039	0.014592	0.00921707
10133	0.0146897	0.0128673
10234	0.011184	0.01373
10334	0.00909295	0.0101306
10428	0.00653212	0.0138458
10530	0.004288	0.00805269
10630	0.00547706	0.00299528
10724	0.00734801	0.00372568
10825	0.00398435	0.00335339
10925	0.00120326	0.00369239
11019	0.000629549	0.00168816
11121	0.0105514	0.00777048
11220	0.00872095	0.00428253
11315	0.00583087	0.00391615
11416	0.011621	0.00907941
11517	0.00805575	0.00802356
11610	0.00745962	0.00681076
11710	0.00580031	0.00394118
11812	0.00339457	0.00517736
11906	0.00247173	0.00437936
12007	0.000609494	0.00107325
12106	0.00323259	0.000775222
12202	0.00705353	0.00869791
12303	0.00731192	0.00663237
12402	0.005584	0.00802182
12497	0.0118545	0.00880487
12598	0.0132261	0.00446079
12698	0.0122288	0.0159374
12793	0.00851571	0.0114437
12892	0.0109224	0.00932984
12987	0.00856842	0.00842963
13088	0.00425748	0.00718471
13190	0.00517891	0.00574326
13282	0.011327	0.0121783
13384	0.0092773	0.00841033
13484	0.0104372	0.0140149
13578	0.00677832	0.00619394
13679	0.01047	0.0114754
13780	0.00475632	0.00638605
13873	0.00493505	0.00715889
13975	0.00242561	0.000892241
14075	0.00361933	0.00432626
14169	0.00541895	0.00411291
14270	0.00596784	0.0060166
14369	0.00982363	0.010071
14464	0.0053719	0.00408205
14566	0.0055782	0.004239
14665	0.00626594	0.00821545
14760	0.00898559	0.00682834
14860	0.00767675	0.00968553
14962	0.0129884	0.00613793
15056	0.0183592	0.00817792
15157	0.00491168	0.00770393
15257	0.00665361	0.0044259
15351	0.0118336	0.0131512
15453	0.013453	0.0135044
15552	0.0123018	0.0128209
15646	0.0118673	0.00945745
15748	0.0124096	0.0148509
15847	0.0112387	0.0159306
15942	0.0101246	0.00777694
16042	0.00488806	0.00708018
16136	0.00370625	0.00587149
16238	0.00134449	0.00354276
16337	0.00167431	0.00049844
16432	0.00720233	0.00302026
16533	0.0105635	0.0104132
16633	0.00416948	0.00738796
16727	0.00350747	0.00797932
16829	0.0076638	0.00360315
16929	0.0114385	0.00796027
17023	0.00782887	0.00234464
17124	0.00679887	0.00514741
17225	0.00774702	0.0048716
17318	0.00397854	0.00530753
17420	0.00202673	0.00337777
17519	0.0111528	0.00941441
17614	0.0140543	0.0139541
17715	0.00477281	0.00497283
17814	0.00724004	0.00389396
17909	0.00720434	0.00660106
18010	0.00833005	0.00851828
18111	0.00892549	0.00733015
18205	0.00885403	0.0080674
18304	0.00657352	0.00765415
18406	0.00332748	0.00566607
18501	0.00780668	0.00562223
18602	0.0140382	0.0155008
18701	0.0102967	0.0152972
18796	0.0109994	0.00593378
18898	0.00754883	0.0125525
18990	0.00376104	0.0045509
19092	0.00486548	0.00628061
19192	0.0037061	0.00381574
19286	0.00262393	0.00190777
19387	0.00620413	0.00459236
19487	0.00373115	0.00257822
19581	0.00443383	0.00519023
19681	0.00117948	0.000937184
19784	0.0106338	0.00406517
19877	0.00301966	0.00225287
19978	0.00785396	0.0068744
20078	0.0103326	0.012661
20172	0.0119234	0.00853583
20274	0.00864196	0.00417861
20374	0.00811311	0.00922902
20468	0.00689833	0.0119007
20569	0.00732651	0.00983976
20669	0.0046646	0.00534961
20763	0.00355898	0.00260829
20865	0.00211328	0.00545919
20964	0.00907068	0.0104063
21059	0.010541	0.0139837
21160	0.00460685	0.00567115
21259	0.00528606	0.00222606
21355	0.00662483	0.00783006
21454	0.0103963	0.00945241
21556	0.00757134	0.00420812
21650	0.00741919	0.000892543
21752	0.0089105	0.00904599
21851	0.00368521	0.00579113
21946	0.00799451	0.00709286
22047	0.00430113	0.00264635
22140	0.00208529	0.000845965
22241	0.00223109	0.000900452
22342	0.00743131	0.00786411
22435	0.0139502	0.0118491
22537	0.0143246	0.0111301
22636	0.0111723	0.0109335
22731	0.0106813	0.00900293
22832	0.0115776	0.0117877
22931	0.00715371	0.00814816
23026	0.00341354	0.00372776
23128	0.00349515	0.00127624
23228	0.00460187	0.00394091
23322	0.000607059	0.00201855
23423	0.00322715	0.00372271
23523	0.00991176	0.00820739
23618	0.00616051	0.00747013
23719	0.00538382	0.00336275
23819	0.00478735	0.00679338
23913	0.00720227	0.00742851
24014	0.00734132	0.00548033
24114	0.00783063	0.0056527
24209	0.00442004	0.00254579
24310	0.0098199	0.00870697
24409	0.0074603	0.00893093
24504	0.00542121	0.00664445
24606	0.00439874	0.00629689
24705	0.00699069	0.00245549
24800	0.0140964	0.0167708
24899	0.0117708	0.0106619
25001	0.0106462	0.0145296
25095	0.0118884	0.0065069
25197	0.00852451	0.00813039
25289	0.00733602	0.00759684
25391	0.00851804	0.00986031
25492	0.0129679	0.00755471
25585	0.00520188	0.0036282
25686	0.0105141	0.00142882
25787	0.00276485	0.00194807
25880	0.00188324	0.00152135
25982	0.00931216	0.00858663
26081	0.00777556	0.00469398
26176	0.00785871	0.00396135
26277	0.010025	0.00682665
26379	0.00750883	0.00645893
26472	0.00713077	0.0055793
26573	0.0116887	0.0106056
26672	0.00799785	0.00357611
26767	0.00434477	0.005581
26869	0.00736645	0.0065356
26969	0.00320793	0.00503433
27063	0.00594196	0.00105592
27164	0.0011369	0.00114759
27264	0.00421145	0.00100728
27358	0.00845247	0.0108764
