Format Version,1.21,Take Name,flow117,Capture Frame Rate,250.000000,Export Frame Rate,200.000000,Capture Start Time,2016-05-30 11.46.15 AM,Total Frames in Take,25635,Total Exported Frames,13825,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,brice,brice,brice,brice,brice,brice,brice,brice
,,"8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
3840,15.360000,-0.768708,-0.043412,0.634753,-0.065515,-839.901550,880.710693,404.423401,0.303901
3841,15.365000,-0.768618,-0.042546,0.634862,-0.066088,-839.845581,880.732605,404.461090,0.294976
3842,15.370000,-0.768618,-0.041844,0.634821,-0.066919,-839.789978,880.763000,404.501709,0.297322
3843,15.375000,-0.768635,-0.041003,0.634776,-0.067670,-839.744995,880.779724,404.554321,0.298391
3844,15.380000,-0.769078,-0.041106,0.634186,-0.068105,-839.635132,880.859985,404.684021,0.395791
3845,15.385000,-0.769035,-0.038608,0.634326,-0.068744,-839.628845,880.792725,404.711578,0.327597
3846,15.390000,-0.769402,-0.037798,0.633849,-0.069483,-839.647583,880.788574,404.831146,0.260912
3847,15.395000,-0.770065,-0.036754,0.633137,-0.069177,-839.626404,880.709656,405.038330,0.305872
3848,15.400000,-0.770440,-0.035961,0.632739,-0.069063,-839.612183,880.642700,405.241516,0.357611
3849,15.405000,-0.770947,-0.036363,0.632019,-0.069796,-839.674133,880.635437,405.428741,0.293349
3850,15.410000,-0.772247,-0.035774,0.630513,-0.069344,-839.619080,880.568787,405.869141,0.262228
3851,15.415000,-0.773842,-0.039338,0.628206,-0.070552,-839.591431,880.879211,406.477448,0.585927
3852,15.420000,-0.773913,-0.037727,0.628336,-0.069503,-839.680847,880.659607,406.587433,0.258952
3853,15.425000,-0.774528,-0.040384,0.627319,-0.070333,-839.732910,880.813660,406.937836,0.324440
3854,15.430000,-0.775405,-0.041154,0.626308,-0.069230,-839.708252,880.742737,407.318909,0.342329
3855,15.435000,-0.776041,-0.042090,0.625574,-0.068162,-839.691162,880.658508,407.695770,0.417219
3856,15.440000,-0.776354,-0.043149,0.625122,-0.068088,-839.704651,880.633484,407.958466,0.385323
3857,15.445000,-0.776777,-0.043281,0.624688,-0.067150,-839.752808,880.469299,408.262817,0.468950
3858,15.450000,-0.777169,-0.042972,0.624427,-0.065215,-839.899414,880.195007,408.547791,0.530693
3859,15.455000,-0.777403,-0.043246,0.624190,-0.064505,-839.945862,880.037415,408.834747,0.570611
3860,15.460000,-0.777513,-0.043342,0.623972,-0.065230,-840.048279,879.839661,409.186310,0.718472
3861,15.465000,-0.777953,-0.043318,0.623446,-0.065021,-840.111938,879.640991,409.575836,0.647754
3862,15.470000,-0.777853,-0.043700,0.623542,-0.065045,-840.202820,879.492737,409.784912,0.589056
3863,15.475000,-0.778000,-0.043564,0.623397,-0.064759,-840.278259,879.267029,410.044434,0.618740
3864,15.480000,-0.778231,-0.042902,0.623175,-0.064564,-840.354614,879.075867,410.312134,0.613339
3865,15.485000,-0.778373,-0.041421,0.623197,-0.063593,-840.382141,878.733398,410.633942,0.454262
3866,15.490000,-0.778084,-0.040559,0.623629,-0.063453,-840.525024,878.445862,410.828339,0.404914
3867,15.495000,-0.777771,-0.039339,0.624135,-0.063094,-840.598877,878.157288,411.004639,0.331906
3868,15.500000,-0.778381,-0.038346,0.623476,-0.062694,-840.574585,877.909668,411.360809,0.528630
3869,15.505000,-0.778083,-0.037906,0.623764,-0.063781,-840.643433,877.767273,411.528931,0.500237
3870,15.510000,-0.778224,-0.036196,0.623739,-0.063301,-840.698914,877.473877,411.796692,0.396128
3871,15.515000,-0.778016,-0.033618,0.624192,-0.062809,-840.763611,877.105103,411.955231,0.160429
3872,15.520000,-0.777791,-0.031283,0.624610,-0.062656,-840.663696,876.779907,412.163208,0.380253
3873,15.525000,-0.778344,-0.030995,0.623860,-0.063394,-840.814941,876.630127,412.592773,0.211745
3874,15.530000,-0.778587,-0.031565,0.623404,-0.064601,-840.821167,876.561218,413.017334,0.488035
3875,15.535000,-0.778677,-0.031499,0.623114,-0.066321,-840.943481,876.395264,413.415802,0.511736
3876,15.540000,-0.778709,-0.029859,0.623193,-0.065968,-841.012329,876.072205,413.711395,0.395767
3877,15.545000,-0.778569,-0.029708,0.623342,-0.066273,-841.138062,875.830383,414.050873,0.353494
3878,15.550000,-0.778574,-0.029066,0.623301,-0.066884,-841.218933,875.562744,414.407410,0.362333
3879,15.555000,-0.778764,-0.030067,0.623003,-0.067010,-841.297974,875.434692,414.852264,0.433090
3880,15.560000,-0.778684,-0.030613,0.623075,-0.067021,-841.414124,875.256287,415.229187,0.440455
3881,15.565000,-0.778257,-0.030701,0.623648,-0.066600,-841.511658,875.077698,415.547119,0.392876
3882,15.570000,-0.778009,-0.031261,0.623965,-0.066278,-841.589844,874.829651,415.923645,0.431198
3883,15.575000,-0.777619,-0.031707,0.624441,-0.066161,-841.702393,874.580994,416.301758,0.489011
3884,15.580000,-0.777449,-0.031635,0.624671,-0.066021,-841.887634,874.261780,416.687653,0.498919
3885,15.585000,-0.778023,-0.030440,0.624178,-0.064460,-841.952087,873.886169,417.415009,0.250780
3886,15.590000,-0.778017,-0.030715,0.624089,-0.065261,-841.987549,873.725586,417.963562,0.644972
3887,15.595000,-0.777214,-0.029001,0.625115,-0.065792,-842.054504,873.352539,418.263245,0.481217
3888,15.600000,-0.778352,-0.027739,0.623595,-0.067292,-842.071533,873.152283,419.080200,1.036664
3889,15.605000,-0.778526,-0.025375,0.623459,-0.067464,-842.180359,872.725098,419.522858,0.845166
3890,15.610000,-0.778520,-0.023879,0.623365,-0.068944,-842.237122,872.591614,419.951569,0.620928
3891,15.615000,-0.778839,-0.022459,0.622841,-0.070534,-842.300720,872.536377,420.441559,0.446954
3892,15.620000,-0.779049,-0.019635,0.622709,-0.070213,-842.273926,872.232239,420.902191,0.305524
3893,15.625000,-0.779093,-0.018428,0.622443,-0.072385,-842.356934,872.180054,421.268677,0.277788
3894,15.630000,-0.780061,-0.015974,0.621294,-0.072410,-842.323364,871.992676,421.879456,0.513806
3895,15.635000,-0.781771,-0.011753,0.619393,-0.071056,-842.263123,871.611328,422.693359,0.551305
3896,15.640000,-0.782119,-0.012561,0.618768,-0.072515,-842.322693,871.752563,423.132263,0.617596
3897,15.645000,-0.783011,-0.010448,0.617818,-0.071320,-842.336365,871.515503,423.817505,0.318627
3898,15.650000,-0.783326,-0.011565,0.617346,-0.071771,-842.401672,871.557739,424.364319,0.262054
3899,15.655000,-0.784038,-0.012393,0.616468,-0.071404,-842.455078,871.594299,425.043549,0.200913
3900,15.660000,-0.784968,-0.018616,0.614765,-0.074453,-842.583984,872.171936,425.900726,0.435262
3901,15.665000,-0.785480,-0.019247,0.614245,-0.073169,-842.581543,872.126709,426.417999,0.358422
3902,15.670000,-0.785674,-0.021816,0.614039,-0.072090,-842.610168,872.187134,426.955627,0.279574
3903,15.675000,-0.785534,-0.024039,0.614314,-0.070545,-842.599854,872.135498,427.470184,0.236300
3904,15.680000,-0.786804,-0.022614,0.613204,-0.066397,-842.531372,871.775696,428.252716,0.540596
3905,15.685000,-0.786762,-0.024495,0.613373,-0.064642,-842.568787,871.715515,428.721710,0.550812
3906,15.690000,-0.786560,-0.027543,0.613522,-0.064459,-842.570923,871.784668,429.189056,0.528210
3907,15.695000,-0.786225,-0.030042,0.613887,-0.063958,-842.542358,871.789368,429.626984,0.499458
3908,15.700000,-0.785612,-0.030408,0.614726,-0.063252,-842.525574,871.652466,429.931824,0.541467
3909,15.705000,-0.785412,-0.030735,0.615102,-0.061913,-842.472412,871.510010,430.339996,0.495685
3910,15.710000,-0.784901,-0.030914,0.615803,-0.061337,-842.373108,871.392456,430.629242,0.405270
3911,15.715000,-0.784419,-0.030955,0.616445,-0.061025,-842.257690,871.267822,430.893555,0.327259
3912,15.720000,-0.784811,-0.027793,0.616176,-0.060215,-842.143677,870.809021,431.350372,0.212271
3913,15.725000,-0.784598,-0.027158,0.616430,-0.060679,-842.052063,870.696594,431.622498,0.214076
3914,15.730000,-0.784541,-0.026710,0.616382,-0.062088,-841.980652,870.635315,431.881897,0.186644
3915,15.735000,-0.784464,-0.025370,0.616552,-0.061948,-841.778198,870.419128,432.140869,0.184446
3916,15.740000,-0.784496,-0.023018,0.616615,-0.061821,-841.632935,870.135010,432.396973,0.195671
3917,15.745000,-0.784274,-0.022285,0.616844,-0.062612,-841.518127,869.989380,432.605133,0.195090
3918,15.750000,-0.784539,-0.021041,0.616457,-0.063531,-841.349670,869.790222,432.886780,0.229440
3919,15.755000,-0.784584,-0.020028,0.616346,-0.064384,-841.208130,869.597778,433.130310,0.261740
3920,15.760000,-0.784029,-0.020401,0.616921,-0.065509,-841.105530,869.505920,433.268280,0.228310
3921,15.765000,-0.784236,-0.019945,0.616582,-0.066354,-840.976501,869.377808,433.708771,0.802867
3922,15.770000,-0.783891,-0.019131,0.616981,-0.066963,-840.859802,869.169861,433.912201,0.796932
3923,15.775000,-0.783571,-0.017996,0.617353,-0.067592,-840.770386,868.883179,434.148834,0.767158
3924,15.780000,-0.782740,-0.017309,0.618267,-0.069026,-840.538391,868.724548,434.264343,0.843160
3925,15.785000,-0.782496,-0.016065,0.618520,-0.069819,-840.361328,868.557617,434.520844,0.816061
3926,15.790000,-0.782329,-0.014894,0.618777,-0.069676,-840.167664,868.335999,434.750641,0.748529
3927,15.795000,-0.782187,-0.013892,0.618966,-0.069799,-839.953857,868.154846,434.973236,0.729323
3928,15.800000,-0.782239,-0.013898,0.618808,-0.070606,-839.710205,868.094421,435.186279,0.665275
3929,15.805000,-0.782764,-0.012003,0.618269,-0.069866,-839.480286,867.887573,435.514191,0.524711
3930,15.810000,-0.783867,-0.009737,0.616835,-0.070517,-839.225159,867.701782,435.952332,0.487935
3931,15.815000,-0.784129,-0.010526,0.616390,-0.071371,-839.046509,867.769470,436.257843,0.574481
3932,15.820000,-0.784574,-0.006344,0.616116,-0.069320,-838.784546,867.309509,436.500580,0.357450
3933,15.825000,-0.785117,-0.008050,0.615420,-0.069176,-838.575439,867.427063,436.904816,0.730059
3934,15.830000,-0.784832,-0.010373,0.615754,-0.069124,-838.398132,867.540100,437.028870,0.676874
3935,15.835000,-0.784913,-0.012120,0.615593,-0.069354,-838.276489,867.644836,437.283020,0.514581
3936,15.840000,-0.784976,-0.013829,0.615539,-0.068790,-838.081482,867.716125,437.506989,0.449005
3937,15.845000,-0.784390,-0.015765,0.616291,-0.068330,-837.834412,867.793396,437.647430,0.582361
3938,15.850000,-0.783866,-0.017788,0.616956,-0.067851,-837.702454,867.853271,437.805267,0.562462
3939,15.855000,-0.783243,-0.020045,0.617735,-0.067323,-837.557861,867.911865,437.961517,0.562858
3940,15.860000,-0.782518,-0.022213,0.618615,-0.066992,-837.420166,867.974609,438.096985,0.548924
3941,15.865000,-0.781662,-0.023623,0.619671,-0.066734,-837.300842,867.942322,438.176178,0.466315
3942,15.870000,-0.780515,-0.023934,0.621125,-0.066537,-837.193420,867.832092,438.167023,0.257720
3943,15.875000,-0.779620,-0.025452,0.622162,-0.066780,-837.089722,867.812805,438.263763,0.253452
3944,15.880000,-0.778863,-0.026385,0.623067,-0.066813,-836.949524,867.741943,438.383392,0.266586
3945,15.885000,-0.777870,-0.026370,0.624308,-0.066792,-836.811462,867.583008,438.450714,0.279359
3946,15.890000,-0.777352,-0.027108,0.624901,-0.066991,-836.660461,867.557556,438.631592,0.392831
3947,15.895000,-0.776945,-0.027102,0.625400,-0.067051,-836.489258,867.449097,438.839600,0.475979
3948,15.900000,-0.776670,-0.025776,0.625849,-0.066573,-836.417664,867.241699,439.063873,0.363596
3949,15.905000,-0.776076,-0.024589,0.626556,-0.067304,-836.216553,867.086121,439.125519,0.342089
3950,15.910000,-0.775406,-0.023769,0.627171,-0.069551,-836.022156,867.000916,439.168274,0.365150
3951,15.915000,-0.775309,-0.020814,0.627501,-0.068597,-835.835083,866.624939,439.280243,0.426805
3952,15.920000,-0.775056,-0.019387,0.627833,-0.068838,-835.627075,866.420837,439.376190,0.427002
3953,15.925000,-0.775364,-0.017592,0.627424,-0.069573,-835.396851,866.276306,439.452789,0.431900
3954,15.930000,-0.775423,-0.015833,0.627345,-0.070050,-835.221924,866.153992,439.597870,0.440986
3955,15.935000,-0.775378,-0.014984,0.627362,-0.070580,-835.035828,866.050598,439.719727,0.438354
3956,15.940000,-0.775343,-0.014539,0.627215,-0.072335,-834.850098,866.087158,439.813385,0.333928
3957,15.945000,-0.775497,-0.014594,0.627012,-0.072442,-834.700989,866.033936,440.074158,0.340224
3958,15.950000,-0.775567,-0.015291,0.626969,-0.071917,-834.515137,865.977173,440.343109,0.584465
3959,15.955000,-0.775365,-0.015602,0.627259,-0.071492,-834.345947,865.875671,440.494171,0.594146
3960,15.960000,-0.775266,-0.015929,0.627413,-0.071148,-834.246948,865.805481,440.668976,0.550617
3961,15.965000,-0.775001,-0.016302,0.627798,-0.070558,-834.181580,865.708679,440.852692,0.486898
3962,15.970000,-0.774140,-0.016606,0.628888,-0.070218,-834.124207,865.613220,440.898346,0.246215
3963,15.975000,-0.773624,-0.018026,0.629515,-0.069939,-834.076172,865.554016,441.073883,0.213842
3964,15.980000,-0.773198,-0.019211,0.630051,-0.069508,-833.985168,865.461121,441.248871,0.209587
3965,15.985000,-0.772694,-0.020034,0.630688,-0.069109,-833.888916,865.357788,441.399902,0.209805
3966,15.990000,-0.772287,-0.019968,0.631267,-0.068386,-833.770142,865.220703,441.556427,0.242957
3967,15.995000,-0.772321,-0.019823,0.631270,-0.068012,-833.584045,865.094666,441.843719,0.517049
3968,16.000000,-0.771101,-0.019652,0.632789,-0.067787,-833.468872,864.966125,441.783752,0.353982
3969,16.005000,-0.769985,-0.020253,0.634122,-0.067833,-833.313843,864.881592,441.701782,0.251596
3970,16.010000,-0.768982,-0.020201,0.635310,-0.068115,-833.099792,864.802063,441.630127,0.257162
3971,16.015000,-0.768582,-0.018180,0.635962,-0.067105,-832.942993,864.544312,441.742859,0.442771
