Format Version,1.21,Take Name,flow81AV,Capture Frame Rate,250.000000,Export Frame Rate,200.000000,Capture Start Time,2016-05-30 12.17.07 AM,Total Frames in Take,24615,Total Exported Frames,14593,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,brice,brice,brice,brice,brice,brice,brice,brice
,,"8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
3840,15.360000,-0.108847,-0.225910,0.955477,-0.155503,-1112.096436,982.526367,98.500023,0.864198
3841,15.365000,-0.106916,-0.226721,0.956340,-0.150266,-1109.847778,982.293640,100.923004,0.373104
3842,15.370000,-0.107810,-0.229957,0.956289,-0.144944,-1107.261108,982.388367,103.233307,0.386433
3843,15.375000,-0.108964,-0.233395,0.956196,-0.139079,-1104.858521,982.623596,105.601837,0.245605
3844,15.380000,-0.112501,-0.231089,0.957350,-0.131994,-1102.050171,982.506409,107.793312,0.318616
3845,15.385000,-0.116439,-0.232509,0.957044,-0.128253,-1099.626831,982.599365,110.043770,0.834866
3846,15.390000,-0.120225,-0.232493,0.957042,-0.124756,-1096.855713,982.672607,112.389732,1.009547
3847,15.395000,-0.121878,-0.231552,0.957644,-0.120193,-1094.982544,982.525269,114.539566,0.641444
3848,15.400000,-0.121706,-0.236285,0.957245,-0.114190,-1092.877075,982.815979,117.097580,0.566874
3849,15.405000,-0.130438,-0.234686,0.957392,-0.106342,-1089.618286,982.920471,119.130417,0.993047
3850,15.410000,-0.133121,-0.233579,0.957961,-0.100153,-1087.443237,982.739563,121.380135,0.180536
3851,15.415000,-0.135869,-0.236834,0.957332,-0.094682,-1084.962280,983.089722,123.839500,0.833010
3852,15.420000,-0.140683,-0.233232,0.957854,-0.091251,-1082.316528,982.578247,126.286804,0.854231
3853,15.425000,-0.143622,-0.238435,0.956519,-0.087141,-1080.739258,982.780334,128.501892,0.242296
3854,15.430000,-0.150784,-0.236646,0.956073,-0.084774,-1077.778076,982.969910,130.671082,0.839794
3855,15.435000,-0.153380,-0.233972,0.956483,-0.082901,-1075.878662,982.715576,132.952484,0.568033
3856,15.440000,-0.158271,-0.230913,0.956639,-0.080449,-1073.526733,982.718628,134.888672,0.816259
3857,15.445000,-0.162706,-0.237044,0.954413,-0.080206,-1071.240479,983.449829,137.123169,0.444866
3858,15.450000,-0.167824,-0.227328,0.956214,-0.076236,-1068.869385,982.714661,138.972778,0.377947
3859,15.455000,-0.171469,-0.222505,0.956688,-0.076409,-1066.747192,982.347412,140.892929,0.292412
3860,15.460000,-0.173919,-0.218269,0.957457,-0.073396,-1064.611694,982.326416,142.832260,0.307915
3861,15.465000,-0.175510,-0.213556,0.958083,-0.075275,-1062.712036,982.049927,144.743408,0.599783
3862,15.470000,-0.180696,-0.210451,0.957765,-0.075799,-1060.268799,982.129578,146.680283,0.267967
3863,15.475000,-0.181942,-0.209093,0.957686,-0.077559,-1058.192261,982.302612,148.798660,0.369522
3864,15.480000,-0.185400,-0.209749,0.956532,-0.081721,-1056.223999,982.429260,150.775467,0.354871
3865,15.485000,-0.188156,-0.210382,0.955373,-0.087170,-1054.267822,982.560242,152.977921,0.470542
3866,15.490000,-0.190600,-0.212370,0.954171,-0.090156,-1052.544922,982.946594,155.008057,0.345340
3867,15.495000,-0.191656,-0.217721,0.952282,-0.095002,-1050.830688,983.654663,157.234650,0.574056
3868,15.500000,-0.192440,-0.216817,0.951777,-0.100387,-1049.368042,983.727661,159.410095,0.502793
3869,15.505000,-0.193222,-0.223516,0.949496,-0.105654,-1047.555908,984.483398,161.582382,1.059284
3870,15.510000,-0.196599,-0.223410,0.948182,-0.111303,-1045.893066,984.673523,163.582947,0.913321
3871,15.515000,-0.194036,-0.225241,0.947906,-0.114411,-1044.804688,984.992310,165.831711,0.487846
3872,15.520000,-0.195940,-0.225576,0.946863,-0.119055,-1043.102783,985.230347,167.700195,1.048248
3873,15.525000,-0.196494,-0.229199,0.945521,-0.121852,-1041.689819,985.605347,169.798019,0.975537
3874,15.530000,-0.199876,-0.228625,0.944756,-0.123355,-1039.785889,985.675354,171.693665,0.825144
3875,15.535000,-0.198795,-0.229056,0.944684,-0.124842,-1038.602173,985.790710,173.767868,1.043580
3876,15.540000,-0.202977,-0.228180,0.943777,-0.126568,-1036.884277,985.686890,175.533508,1.058349
3877,15.545000,-0.204700,-0.227898,0.943597,-0.125643,-1035.193970,985.857300,177.515839,0.809382
3878,15.550000,-0.204352,-0.229496,0.942748,-0.129605,-1034.154785,985.590698,179.324677,0.732994
3879,15.555000,-0.206274,-0.232594,0.940848,-0.134744,-1032.870117,985.491028,180.939194,0.883807
3880,15.560000,-0.209001,-0.231601,0.940195,-0.136793,-1031.137329,985.247192,182.716171,0.594368
3881,15.565000,-0.210982,-0.225108,0.941083,-0.138481,-1029.470825,984.933899,184.249924,0.942741
3882,15.570000,-0.210822,-0.229274,0.940116,-0.138453,-1028.350220,985.169312,185.734848,0.508399
3883,15.575000,-0.210044,-0.229743,0.940067,-0.139192,-1027.209717,985.034180,187.412155,1.086362
3884,15.580000,-0.211597,-0.227210,0.940428,-0.138555,-1025.479004,984.912903,188.976563,1.052947
3885,15.585000,-0.210958,-0.229345,0.940157,-0.137847,-1024.098633,984.895813,190.427750,1.215881
3886,15.590000,-0.212081,-0.225518,0.941038,-0.136422,-1022.438171,984.503906,191.908966,1.266540
3887,15.595000,-0.212180,-0.222113,0.941669,-0.137493,-1021.045593,983.878540,193.468796,1.214461
3888,15.600000,-0.211072,-0.225946,0.941067,-0.137079,-1019.761902,984.207153,194.987701,0.619815
3889,15.605000,-0.213372,-0.225521,0.940099,-0.140810,-1018.183228,983.614319,196.449890,0.646115
3890,15.610000,-0.213102,-0.223337,0.941148,-0.137655,-1016.884705,983.375610,197.900055,0.729009
3891,15.615000,-0.214032,-0.220587,0.941689,-0.136946,-1015.276184,983.057495,199.266113,0.646118
3892,15.620000,-0.212746,-0.220088,0.942185,-0.136340,-1014.339478,982.635254,200.900681,1.064437
3893,15.625000,-0.216512,-0.219491,0.941429,-0.136596,-1012.554260,982.598877,202.155121,0.678984
3894,15.630000,-0.216557,-0.217929,0.941706,-0.137115,-1011.519287,982.002075,203.495544,0.955198
3895,15.635000,-0.215515,-0.217598,0.941733,-0.139081,-1010.558228,981.630859,204.918015,0.885217
3896,15.640000,-0.219108,-0.218688,0.940130,-0.142558,-1008.945435,981.544373,206.119873,0.872119
3897,15.645000,-0.218941,-0.218318,0.939530,-0.147260,-1007.895447,981.195740,207.231979,0.608350
3898,15.650000,-0.219115,-0.216096,0.939252,-0.151979,-1006.867981,980.707031,208.276001,0.666718
3899,15.655000,-0.220283,-0.213887,0.938537,-0.157719,-1005.682373,980.426392,209.250137,1.014518
3900,15.660000,-0.221831,-0.212902,0.937495,-0.162992,-1004.514832,980.258667,210.199097,0.804930
3901,15.665000,-0.221156,-0.215465,0.936295,-0.167384,-1003.930664,980.227417,211.062073,0.773371
3902,15.670000,-0.222813,-0.213955,0.935027,-0.174078,-1002.779480,979.782410,211.720901,0.681257
3903,15.675000,-0.223712,-0.212704,0.933875,-0.180519,-1001.540405,979.408813,212.624298,0.412786
3904,15.680000,-0.223418,-0.212678,0.932653,-0.187113,-1000.761536,979.066528,213.234360,0.365812
3905,15.685000,-0.223699,-0.210832,0.932399,-0.190109,-999.533142,978.906006,214.134796,0.782526
3906,15.690000,-0.222340,-0.207526,0.932212,-0.196159,-998.389221,978.670593,214.701111,0.620470
3907,15.695000,-0.221592,-0.207014,0.931856,-0.199213,-997.392334,978.866028,214.913742,0.867246
3908,15.700000,-0.218423,-0.205819,0.932539,-0.200753,-996.680298,978.579346,215.314545,0.341958
3909,15.705000,-0.218014,-0.201065,0.933030,-0.203709,-995.309998,978.047058,215.702774,0.015661
3910,15.710000,-0.215917,-0.194269,0.934783,-0.204501,-993.865967,977.730835,216.355072,0.563255
3911,15.715000,-0.212780,-0.190812,0.935617,-0.207209,-992.525818,977.885071,216.521362,0.751663
3912,15.720000,-0.209074,-0.192104,0.936531,-0.205653,-991.780151,978.060547,216.551575,1.053334
3913,15.725000,-0.209335,-0.178738,0.939040,-0.205996,-990.017090,977.045654,216.871033,1.020320
3914,15.730000,-0.203942,-0.172617,0.940487,-0.209987,-989.257141,975.969238,217.318756,0.798154
3915,15.735000,-0.200625,-0.171369,0.942024,-0.207301,-988.537354,975.569946,217.457352,0.521228
3916,15.740000,-0.204057,-0.165585,0.942672,-0.205699,-986.513245,975.185913,217.321228,0.288586
3917,15.745000,-0.202073,-0.161227,0.945331,-0.198799,-985.177490,974.849915,217.915878,0.977718
3918,15.750000,-0.200434,-0.155590,0.947320,-0.195457,-984.161621,973.753662,218.394440,0.795376
3919,15.755000,-0.200624,-0.152889,0.948730,-0.190489,-982.715881,973.099792,218.681061,0.616574
3920,15.760000,-0.200374,-0.143361,0.951203,-0.185769,-981.213318,971.692078,219.186493,0.392135
3921,15.765000,-0.199627,-0.142423,0.952061,-0.182877,-980.006958,970.688965,219.477829,0.651264
3922,15.770000,-0.197855,-0.140050,0.953705,-0.178007,-978.973511,969.897156,219.795425,0.419906
3923,15.775000,-0.196505,-0.138212,0.955773,-0.169651,-977.920227,969.407104,220.047668,0.503087
3924,15.780000,-0.195192,-0.134965,0.957440,-0.164298,-976.875366,968.688843,220.311752,0.774804
3925,15.785000,-0.192960,-0.133008,0.959112,-0.158679,-975.533752,968.133301,220.697662,0.778562
3926,15.790000,-0.192131,-0.129470,0.960250,-0.155701,-974.441833,967.405823,220.581161,0.637571
3927,15.795000,-0.189972,-0.125740,0.961492,-0.153734,-973.287537,966.679749,220.670425,0.886594
3928,15.800000,-0.185273,-0.124061,0.962638,-0.153661,-972.424927,966.104553,220.605743,0.784297
3929,15.805000,-0.182517,-0.121206,0.963499,-0.153841,-971.326721,965.385315,220.699707,0.737317
3930,15.810000,-0.178811,-0.118449,0.964592,-0.153485,-970.435730,964.849915,220.635498,0.864726
3931,15.815000,-0.174016,-0.116106,0.965751,-0.153504,-969.809265,964.351624,220.603165,0.441467
3932,15.820000,-0.168983,-0.115449,0.966653,-0.153943,-969.254089,963.827454,220.515640,0.203265
3933,15.825000,-0.165000,-0.112399,0.967925,-0.152519,-968.400818,963.597717,220.401062,0.345368
3934,15.830000,-0.162061,-0.105644,0.969313,-0.151683,-967.451050,963.224121,220.400635,0.481601
3935,15.835000,-0.159828,-0.097280,0.970583,-0.151525,-966.612549,962.501831,220.681747,0.359190
3936,15.840000,-0.159855,-0.089722,0.971673,-0.149160,-965.514709,962.023132,220.991989,1.194889
3937,15.845000,-0.159480,-0.080248,0.972677,-0.148409,-965.052979,961.295166,221.024765,0.863385
3938,15.850000,-0.160604,-0.068165,0.973593,-0.147230,-964.298767,960.477356,221.148254,0.487492
3939,15.855000,-0.164290,-0.052784,0.974138,-0.145865,-963.347656,959.313354,221.430191,0.384290
3940,15.860000,-0.167758,-0.041441,0.974507,-0.143094,-962.473328,958.400391,221.752167,0.554085
3941,15.865000,-0.169900,-0.028109,0.975038,-0.140160,-961.929626,957.069763,222.309067,0.438168
3942,15.870000,-0.172675,-0.016696,0.975150,-0.137791,-961.186462,955.837036,222.776779,0.358812
3943,15.875000,-0.174117,-0.010456,0.975412,-0.134703,-960.533020,954.815369,223.283585,0.400364
3944,15.880000,-0.175950,-0.006787,0.975672,-0.130612,-959.906799,953.943237,223.793518,0.618143
3945,15.885000,-0.177642,-0.003229,0.975916,-0.126571,-959.356628,952.959778,224.359894,0.726468
3946,15.890000,-0.180165,0.000012,0.975714,-0.124589,-958.699219,951.985107,224.680710,0.716433
3947,15.895000,-0.181091,0.002747,0.975726,-0.123114,-958.357971,950.974609,225.003769,0.505392
3948,15.900000,-0.183453,0.005742,0.975296,-0.122924,-957.679077,950.014343,225.572723,0.374588
3949,15.905000,-0.183914,0.004523,0.975369,-0.121697,-957.404175,949.232361,225.979492,0.310399
3950,15.910000,-0.183682,0.002857,0.975500,-0.121046,-957.247559,948.569702,226.417282,0.418425
3951,15.915000,-0.183850,0.002874,0.975363,-0.121892,-956.950989,947.817261,226.665878,0.388216
3952,15.920000,-0.184133,0.003397,0.975330,-0.121714,-956.582581,947.150635,226.905960,0.434699
3953,15.925000,-0.183413,0.003020,0.975577,-0.120833,-956.230652,946.685181,227.205383,0.583611
3954,15.930000,-0.182408,0.001841,0.975857,-0.120111,-955.978516,946.230713,227.517532,0.679643
3955,15.935000,-0.180540,0.001019,0.976275,-0.119545,-955.945068,945.708801,227.914993,0.538311
3956,15.940000,-0.180529,0.001955,0.976405,-0.118482,-955.744324,945.072937,228.372437,0.493091
3957,15.945000,-0.181210,0.003110,0.976411,-0.117368,-955.562622,944.409912,228.834351,0.463067
3958,15.950000,-0.182707,0.006776,0.976183,-0.116788,-955.224243,943.553772,229.488571,0.673061
3959,15.955000,-0.185236,0.009529,0.975991,-0.114190,-955.005798,942.825806,229.813019,0.536337
3960,15.960000,-0.189003,0.013074,0.975578,-0.111152,-954.633606,942.063965,230.192459,0.480139
3961,15.965000,-0.192604,0.015126,0.975248,-0.107542,-954.195007,941.388367,230.508347,0.684525
3962,15.970000,-0.194530,0.016254,0.975249,-0.103844,-954.083435,940.669312,230.714584,0.742480
3963,15.975000,-0.196117,0.017964,0.975267,-0.100345,-953.947388,939.831238,230.876144,0.634195
3964,15.980000,-0.197862,0.016245,0.975163,-0.098204,-953.620605,939.278687,230.810913,0.570210
3965,15.985000,-0.198738,0.017585,0.975367,-0.094095,-953.497375,938.318604,230.750320,0.649355
3966,15.990000,-0.199934,0.019641,0.975433,-0.090391,-953.292786,937.458862,230.715454,0.578223
3967,15.995000,-0.201153,0.019991,0.975442,-0.087466,-953.084412,936.774414,230.551346,0.531198
3968,16.000000,-0.202058,0.020449,0.975407,-0.085648,-952.860840,936.110779,230.446609,0.704011
3969,16.005000,-0.202547,0.019548,0.975459,-0.084104,-952.844788,935.626038,230.321777,0.734115
3970,16.010000,-0.203208,0.016782,0.975419,-0.083558,-952.954956,935.311462,230.227859,0.782722
