Format Version,1.21,Take Name,flow81,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2016-05-30 12.13.04 AM,Total Frames in Take,28647,Total Exported Frames,18241,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,brice,brice,brice,brice,brice,brice,brice,brice
,,"8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
6720,26.880000,0.372627,0.067801,-0.925369,0.015656,-864.020142,936.016602,383.105896,0.428772
6721,26.884000,0.375247,0.062545,-0.924679,0.015697,-863.672058,935.420105,384.153442,0.402775
6722,26.888000,0.377091,0.065084,-0.923692,0.018949,-863.221191,935.645691,385.093445,0.511420
6723,26.892000,0.380092,0.069243,-0.922123,0.020593,-862.514404,936.004944,386.180023,0.533069
6724,26.896000,0.381231,0.066400,-0.921827,0.022131,-862.162537,935.836609,386.993042,0.287033
6725,26.900000,0.383151,0.069179,-0.920776,0.024103,-861.547363,936.159485,387.934540,0.467584
6726,26.904000,0.383740,0.066689,-0.920687,0.025134,-861.020081,936.065857,388.672333,0.457544
6727,26.908000,0.384208,0.065643,-0.920519,0.026824,-860.549744,936.106812,389.357147,0.347076
6728,26.912000,0.384348,0.065027,-0.920491,0.027298,-860.104248,936.131226,389.977997,0.324243
6729,26.916000,0.384539,0.065420,-0.920347,0.028484,-859.631897,936.325623,390.685883,0.382721
6730,26.920000,0.384320,0.065532,-0.920441,0.028136,-859.309570,936.372009,391.312286,0.330850
6731,26.924000,0.384526,0.065145,-0.920392,0.027817,-858.839172,936.435242,391.926453,0.357336
6732,26.928000,0.385109,0.063162,-0.920289,0.027744,-858.331665,936.394287,392.579742,0.398273
6733,26.932000,0.385940,0.066913,-0.919671,0.027910,-857.752014,936.791077,393.242249,0.476445
6734,26.936000,0.385382,0.068452,-0.919819,0.026984,-857.363098,937.001709,393.776093,0.538161
6735,26.940000,0.384765,0.070117,-0.920009,0.024978,-857.130920,937.309875,394.383942,0.429001
6736,26.944000,0.385022,0.069650,-0.919960,0.024085,-856.796509,937.356323,395.027283,0.346923
6737,26.948000,0.387093,0.066075,-0.919390,0.022700,-856.108459,937.232849,395.785767,0.480797
6738,26.952000,0.387608,0.066711,-0.919146,0.021905,-855.809326,937.407837,396.357849,0.476235
6739,26.956000,0.388555,0.069627,-0.918557,0.020751,-855.539246,937.718018,397.020996,0.473613
6740,26.960000,0.389492,0.068343,-0.918277,0.019808,-855.251160,937.772522,397.749115,0.501515
6741,26.964000,0.390269,0.068271,-0.917970,0.018970,-855.034668,937.968567,398.263153,0.468888
6742,26.968000,0.390758,0.072126,-0.917461,0.019258,-854.922546,938.525269,398.768738,0.426910
6743,26.972000,0.391550,0.075519,-0.916857,0.018954,-854.808044,938.942200,399.422211,0.331986
6744,26.976000,0.393604,0.077218,-0.915806,0.020292,-854.477661,939.303345,400.070496,0.529738
6745,26.980000,0.393793,0.078736,-0.915603,0.019977,-854.495056,939.654053,400.549286,0.327183
6746,26.984000,0.395138,0.079766,-0.914940,0.019732,-854.428162,939.994995,401.067444,0.455150
6747,26.988000,0.398262,0.075350,-0.913958,0.019743,-853.981445,939.873474,401.694519,0.623397
6748,26.992000,0.399644,0.075175,-0.913347,0.020755,-853.907593,940.273010,402.222443,0.542894
6749,26.996000,0.401413,0.075886,-0.912498,0.021370,-853.828186,940.621948,402.743896,0.522708
6750,27.000000,0.402671,0.076093,-0.911889,0.022900,-853.688354,941.058777,403.200989,0.402578
6751,27.004000,0.404535,0.076850,-0.910978,0.023754,-853.477600,941.555664,403.714386,0.595258
6752,27.008000,0.405184,0.077581,-0.910610,0.024443,-853.265686,942.094971,404.071503,0.486645
6753,27.012000,0.406179,0.083062,-0.909676,0.024690,-852.996582,943.070801,404.629089,0.636973
6754,27.016000,0.407090,0.083136,-0.909246,0.025264,-852.832886,943.595215,404.986694,0.629471
6755,27.020000,0.407656,0.082985,-0.908964,0.026744,-852.720398,944.214661,405.294434,0.526296
6756,27.024000,0.407979,0.081217,-0.908984,0.026555,-852.674622,944.550354,405.564636,0.521857
6757,27.028000,0.408343,0.082027,-0.908724,0.027362,-852.502991,945.210510,405.851746,0.503406
6758,27.032000,0.408770,0.082071,-0.908485,0.028759,-852.288818,945.996216,406.122589,0.466373
6759,27.036000,0.408734,0.082284,-0.908485,0.028657,-852.039307,946.778137,406.330780,0.459256
6760,27.040000,0.408021,0.083492,-0.908676,0.029263,-851.822754,947.614685,406.417694,0.448617
6761,27.044000,0.407635,0.083546,-0.908831,0.029645,-851.612854,948.345337,406.542328,0.437985
6762,27.048000,0.407472,0.085061,-0.908727,0.030771,-851.370544,949.213562,406.733826,0.431969
6763,27.052000,0.406299,0.085380,-0.909231,0.030509,-851.315491,949.943359,406.834778,0.346487
6764,27.056000,0.406081,0.085503,-0.909293,0.031195,-851.053894,950.758057,406.937958,0.340810
6765,27.060000,0.406622,0.083381,-0.909190,0.032859,-850.693726,951.614563,407.013580,0.532726
6766,27.064000,0.406329,0.082779,-0.909314,0.034524,-850.495544,952.498779,407.027649,0.553332
6767,27.068000,0.405549,0.082213,-0.909611,0.037141,-850.354614,953.346802,406.916901,0.513948
6768,27.072000,0.405095,0.081287,-0.909850,0.038267,-850.219238,954.051025,406.871307,0.541810
6769,27.076000,0.404752,0.079098,-0.910165,0.038964,-850.050720,954.871460,406.813324,0.563850
6770,27.080000,0.404702,0.078775,-0.910167,0.040082,-849.809814,955.807251,406.774200,0.512477
6771,27.084000,0.404712,0.078720,-0.910052,0.042616,-849.552063,956.813293,406.746735,0.438408
6772,27.088000,0.404351,0.077094,-0.910263,0.044472,-849.375793,957.718933,406.626526,0.449443
6773,27.092000,0.403573,0.078005,-0.910446,0.046172,-849.240967,958.799072,406.503906,0.353007
6774,27.096000,0.403436,0.077870,-0.910376,0.048894,-848.976807,959.763672,406.424377,0.305021
6775,27.100000,0.402965,0.075997,-0.910712,0.049482,-848.942749,960.380920,406.317017,0.471139
6776,27.104000,0.402284,0.079561,-0.910609,0.051279,-848.898254,961.458862,406.226990,0.470483
6777,27.108000,0.402162,0.076715,-0.910783,0.053427,-848.716064,962.073975,406.126617,0.581711
6778,27.112000,0.401169,0.071485,-0.911585,0.054465,-848.742004,962.588257,405.906342,0.468007
6779,27.116000,0.401533,0.075742,-0.910803,0.058925,-848.495728,963.806763,405.833282,0.521415
6780,27.120000,0.401871,0.075380,-0.910548,0.060990,-848.336731,964.567383,405.751312,0.597869
6781,27.124000,0.402433,0.073606,-0.910237,0.064016,-848.164856,965.251465,405.664063,0.613538
6782,27.128000,0.401006,0.070562,-0.911102,0.064097,-848.194824,965.872864,405.442932,0.336784
6783,27.132000,0.401244,0.069317,-0.910964,0.065901,-848.098450,966.610291,405.436890,0.269663
6784,27.136000,0.402137,0.067600,-0.910560,0.067797,-847.942383,967.209900,405.473022,0.644495
6785,27.140000,0.402221,0.065991,-0.910510,0.069538,-847.956055,967.796143,405.451935,0.687073
6786,27.144000,0.402505,0.065938,-0.910240,0.071447,-847.858398,968.464661,405.485260,0.611614
6787,27.148000,0.402907,0.065748,-0.909963,0.072868,-847.817749,969.120117,405.564728,0.600091
6788,27.152000,0.403545,0.063942,-0.909713,0.074056,-847.862671,969.633911,405.690430,0.661228
6789,27.156000,0.404082,0.064538,-0.909344,0.075142,-847.873962,970.279053,405.803436,0.672935
6790,27.160000,0.405405,0.064096,-0.908725,0.075879,-847.792053,970.897766,406.042023,0.569113
6791,27.164000,0.406461,0.063822,-0.908266,0.075956,-847.761230,971.376282,406.230804,0.560139
6792,27.168000,0.407557,0.063860,-0.907788,0.075761,-847.735779,971.819275,406.418365,0.547149
6793,27.172000,0.408147,0.063320,-0.907591,0.075403,-847.708862,972.179504,406.537964,0.515956
6794,27.176000,0.409090,0.063381,-0.907232,0.074561,-847.671692,972.516174,406.713501,0.551784
6795,27.180000,0.410113,0.064078,-0.906730,0.074450,-847.537964,972.917175,406.898773,0.485001
6796,27.184000,0.410498,0.063452,-0.906680,0.073465,-847.551331,973.132629,406.991364,0.584024
6797,27.188000,0.410657,0.064999,-0.906524,0.073148,-847.554565,973.589600,407.119293,0.533807
6798,27.192000,0.411224,0.066170,-0.906147,0.073576,-847.382935,973.977539,407.293335,0.530174
6799,27.196000,0.411328,0.066883,-0.906020,0.073913,-847.375061,974.295471,407.403748,0.528714
6800,27.200000,0.411078,0.068965,-0.905906,0.074792,-847.445313,974.751343,407.492279,0.303649
6801,27.204000,0.411881,0.068113,-0.905507,0.075975,-847.273499,974.904602,407.619904,0.531642
6802,27.208000,0.412169,0.070056,-0.905132,0.077106,-847.193237,975.376099,407.715668,0.524142
6803,27.212000,0.412447,0.068287,-0.905082,0.077792,-847.182068,975.577271,407.815002,0.513631
6804,27.216000,0.412742,0.068122,-0.904863,0.078906,-847.231079,975.856995,407.895599,0.512049
6805,27.220000,0.413371,0.066997,-0.904540,0.080271,-847.245422,976.097290,407.990845,0.479847
6806,27.224000,0.413428,0.064239,-0.904598,0.081570,-847.412537,976.172791,408.053711,0.238187
6807,27.228000,0.414980,0.064973,-0.903735,0.082660,-847.358582,976.555664,408.309265,0.533815
6808,27.232000,0.416379,0.063558,-0.903010,0.084633,-847.424744,976.788025,408.471741,0.521512
6809,27.236000,0.417768,0.060534,-0.902505,0.085384,-847.583496,976.775452,408.679932,0.589642
6810,27.240000,0.420069,0.057527,-0.901330,0.088527,-847.641052,976.793640,408.821411,0.418479
6811,27.244000,0.420622,0.062070,-0.900791,0.088325,-847.876038,977.428223,409.209351,0.525127
6812,27.248000,0.422261,0.060727,-0.899967,0.089823,-848.020386,977.545593,409.408173,0.528188
6813,27.252000,0.423879,0.060765,-0.899115,0.090705,-848.104309,977.752014,409.630371,0.509572
6814,27.256000,0.425135,0.062022,-0.898459,0.090466,-848.177734,977.990417,409.877106,0.671235
6815,27.260000,0.426664,0.060473,-0.897672,0.092118,-848.306030,978.088562,410.065216,0.633627
6816,27.264000,0.427844,0.053480,-0.897501,0.092637,-848.450867,977.556030,410.158173,0.927224
6817,27.268000,0.429016,0.052804,-0.896874,0.093667,-848.531006,977.537598,410.311157,0.942035
6818,27.272000,0.429676,0.052324,-0.896499,0.094500,-848.603210,977.472229,410.459686,0.962978
6819,27.276000,0.429560,0.050505,-0.896721,0.093911,-848.826111,977.226929,410.530670,0.779091
6820,27.280000,0.429867,0.050470,-0.896464,0.094966,-848.839966,977.181946,410.706116,0.773722
6821,27.284000,0.430735,0.047557,-0.896186,0.095166,-848.663879,976.770691,410.974365,1.083685
6822,27.288000,0.430858,0.047907,-0.896180,0.094489,-848.635803,976.687439,411.172333,1.090266
6823,27.292000,0.431651,0.048149,-0.895867,0.093706,-848.436523,976.508606,411.421478,0.680753
6824,27.296000,0.431001,0.050424,-0.896253,0.091795,-848.552917,976.412292,411.550812,0.534451
6825,27.300000,0.430847,0.051616,-0.896466,0.089759,-848.587097,976.030640,411.756683,0.543656
6826,27.304000,0.430910,0.052669,-0.896400,0.089496,-848.574402,975.866394,412.017639,0.442131
6827,27.308000,0.430919,0.058765,-0.896139,0.088265,-848.683594,976.004272,412.436768,0.550830
6828,27.312000,0.431083,0.052522,-0.896556,0.087154,-848.662842,974.819031,412.483368,0.301135
6829,27.316000,0.431623,0.049942,-0.896805,0.083355,-848.633911,974.207275,412.954498,0.661054
6830,27.320000,0.431518,0.050644,-0.896976,0.081615,-848.683350,973.777283,413.218872,0.592675
6831,27.324000,0.432208,0.049198,-0.896930,0.079330,-848.678467,973.158020,413.599304,0.597643
6832,27.328000,0.432009,0.046951,-0.897395,0.076462,-848.883606,972.535706,413.899231,0.511975
6833,27.332000,0.432885,0.045641,-0.897227,0.074236,-849.013794,971.956543,414.279388,0.512523
6834,27.336000,0.433398,0.046779,-0.897033,0.072867,-849.230957,971.506409,414.649750,0.554865
6835,27.340000,0.433879,0.046772,-0.896896,0.071684,-849.480896,970.933167,415.073761,0.563626
6836,27.344000,0.434215,0.046570,-0.896818,0.070748,-849.800415,970.298279,415.499695,0.629156
6837,27.348000,0.434977,0.044473,-0.896676,0.069208,-850.087280,969.412659,415.943390,0.585739
6838,27.352000,0.436198,0.043659,-0.896092,0.069602,-850.269165,968.731384,416.399109,0.646818
6839,27.356000,0.439378,0.038844,-0.894863,0.068257,-850.130554,967.543701,416.980530,0.776340
6840,27.360000,0.439690,0.036998,-0.895013,0.065236,-850.762634,966.618896,417.438293,0.715482
6841,27.364000,0.440910,0.038317,-0.894328,0.065629,-851.087585,965.763000,417.884644,0.704687
6842,27.368000,0.442308,0.039005,-0.893607,0.065650,-851.257690,965.193848,418.411469,0.512534
6843,27.372000,0.442503,0.038558,-0.893611,0.064530,-851.932312,964.386536,418.922546,0.289342
6844,27.376000,0.444976,0.038978,-0.892301,0.065393,-852.151550,963.572388,419.712769,0.462925
6845,27.380000,0.446250,0.037766,-0.891875,0.063194,-852.517273,962.372070,420.326538,0.519875
6846,27.384000,0.447950,0.036530,-0.891079,0.063121,-852.825439,961.264160,421.014984,0.569251
6847,27.388000,0.448343,0.036864,-0.890882,0.062920,-853.469482,960.372009,421.610931,0.366990
6848,27.392000,0.449818,0.030081,-0.890583,0.060172,-853.913452,958.716003,422.082123,0.865398
6849,27.396000,0.453510,0.030119,-0.888686,0.060496,-854.003723,957.891663,423.158417,0.476353
6850,27.400000,0.456766,0.028309,-0.887061,0.060723,-854.370911,956.584473,424.033295,0.506685
6851,27.404000,0.458745,0.029933,-0.885951,0.061221,-854.880066,955.659607,424.817993,0.521817
6852,27.408000,0.461279,0.029517,-0.884632,0.061455,-855.231079,954.573669,425.654388,0.449956
6853,27.412000,0.463265,0.027645,-0.883749,0.060074,-855.866760,953.245056,426.417419,0.582774
6854,27.416000,0.465866,0.024136,-0.882441,0.060703,-856.295715,951.755432,427.130371,0.690310
6855,27.420000,0.468889,0.020051,-0.880932,0.060826,-856.645752,950.401794,427.899261,0.483626
6856,27.424000,0.470672,0.016589,-0.880261,0.057731,-857.206177,949.017944,428.525269,0.331973
6857,27.428000,0.473146,0.016282,-0.878961,0.057414,-857.563232,947.885742,429.375366,0.454719
