Format Version,1.21,Take Name,flow81AV,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2016-05-30 12.17.07 AM,Total Frames in Take,24615,Total Exported Frames,24615,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,brice,brice,brice,brice,brice,brice,brice,brice
,,"8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
0,0.000000,0.000833,-0.823674,0.001383,-0.567061,-1516.510010,-7.269107,119.703224,1.016494
1,0.004000,0.002039,-0.823662,0.001748,-0.567074,-1516.543945,-7.428684,119.673325,0.989345
2,0.008000,0.001041,-0.823723,0.001912,-0.566988,-1516.519409,-7.287972,119.677155,1.037716
3,0.012000,0.000505,-0.823718,0.002313,-0.566995,-1516.548096,-7.312102,119.678108,1.032017
4,0.016000,0.000324,-0.823639,0.001631,-0.567112,-1516.525024,-7.296363,119.689865,1.036847
5,0.020000,0.000684,-0.823690,0.001644,-0.567038,-1516.541992,-7.348736,119.702034,1.009394
6,0.024000,0.000865,-0.823659,0.001234,-0.567084,-1516.543091,-7.354552,119.684380,1.023754
7,0.028000,0.000653,-0.823724,0.001985,-0.566987,-1516.528564,-7.301672,119.685463,1.028006
8,0.032000,0.001380,-0.823640,0.001587,-0.567109,-1516.537842,-7.344317,119.672081,1.011351
9,0.036000,0.000721,-0.823687,0.001276,-0.567043,-1516.555420,-7.375946,119.669060,1.015955
10,0.040000,0.000760,-0.823595,0.001045,-0.567176,-1516.538086,-7.341258,119.674927,1.025771
11,0.044000,-0.000360,-0.823684,0.001691,-0.567046,-1516.509766,-7.291717,119.681747,1.041537
12,0.048000,0.001238,-0.823759,0.001929,-0.566935,-1516.524780,-7.325015,119.697372,1.017119
13,0.052000,0.001294,-0.823823,0.001916,-0.566842,-1516.557495,-7.416976,119.664566,1.018991
14,0.056000,0.000823,-0.823720,0.001883,-0.566993,-1516.518799,-7.333682,119.688194,1.014359
15,0.060000,0.001306,-0.823704,0.001760,-0.567016,-1516.531738,-7.363914,119.678215,1.012857
16,0.064000,0.000552,-0.823670,0.002060,-0.567065,-1516.506714,-7.265842,119.687904,1.012749
17,0.068000,0.002435,-0.823683,0.001282,-0.567044,-1516.557129,-7.443048,119.681190,1.013597
18,0.072000,0.001332,-0.823702,0.001913,-0.567019,-1516.489868,-7.296250,119.695908,1.004307
19,0.076000,0.000580,-0.823619,0.001330,-0.567142,-1516.530640,-7.303648,119.693565,1.028522
20,0.080000,0.001374,-0.823691,0.001448,-0.567035,-1516.527832,-7.364017,119.691841,1.008632
21,0.084000,0.001342,-0.823735,0.001600,-0.566971,-1516.522095,-7.362101,119.698792,1.012379
22,0.088000,0.001086,-0.823787,0.001906,-0.566895,-1516.539551,-7.354664,119.674797,1.028849
23,0.092000,0.000608,-0.823745,0.002041,-0.566957,-1516.520874,-7.288218,119.687988,1.024871
24,0.096000,0.000981,-0.823840,0.001989,-0.566817,-1516.401245,-7.243398,119.626846,1.186430
25,0.100000,0.000703,-0.823665,0.001798,-0.567074,-1516.531372,-7.331005,119.688095,1.017630
26,0.104000,0.000804,-0.823813,0.001654,-0.566858,-1516.419678,-7.260222,119.637299,1.201318
27,0.108000,0.001375,-0.823933,0.002068,-0.566682,-1516.408691,-7.269413,119.634560,1.206851
28,0.112000,0.000756,-0.823648,0.001224,-0.567100,-1516.498657,-7.315499,119.701180,1.024400
29,0.116000,0.001942,-0.823788,0.001709,-0.566892,-1516.522705,-7.351488,119.707520,1.003469
30,0.120000,0.000694,-0.823748,0.002148,-0.566951,-1516.522949,-7.304886,119.690674,1.035649
31,0.124000,0.001209,-0.823622,0.001170,-0.567137,-1516.554199,-7.352489,119.697792,1.006858
32,0.128000,0.000496,-0.823676,0.002252,-0.567056,-1516.527954,-7.285548,119.714424,1.000054
33,0.132000,0.000709,-0.823740,0.002093,-0.566963,-1516.527222,-7.276677,119.723473,0.999133
34,0.136000,0.000932,-0.823634,0.001601,-0.567118,-1516.521240,-7.295927,119.718033,1.009721
35,0.140000,0.000075,-0.823629,0.001484,-0.567127,-1516.527222,-7.303350,119.704796,1.010481
36,0.144000,0.001338,-0.823647,0.001790,-0.567098,-1516.543091,-7.368813,119.673164,1.001544
37,0.148000,0.000538,-0.823658,0.001333,-0.567085,-1516.575562,-7.334056,119.710480,1.008767
38,0.152000,0.000429,-0.823655,0.001725,-0.567088,-1516.530640,-7.347655,119.690102,1.012911
39,0.156000,0.000675,-0.823633,0.001016,-0.567121,-1516.522583,-7.356430,119.704521,1.021357
40,0.160000,0.001277,-0.823829,0.001941,-0.566833,-1516.409424,-7.243495,119.652794,1.189309
41,0.164000,0.000750,-0.823643,0.001774,-0.567105,-1516.506470,-7.279417,119.709473,1.027827
42,0.168000,0.001281,-0.823666,0.001590,-0.567071,-1516.527466,-7.319693,119.697098,1.013073
43,0.172000,0.001318,-0.823732,0.001675,-0.566975,-1516.409424,-7.214863,119.659370,1.164749
44,0.176000,0.000965,-0.823717,0.001951,-0.566997,-1516.526245,-7.310599,119.685623,1.020367
45,0.180000,0.000952,-0.823723,0.001791,-0.566989,-1516.529663,-7.353697,119.715172,1.025957
46,0.184000,0.000598,-0.823663,0.001828,-0.567077,-1516.537842,-7.343240,119.680016,0.998058
47,0.188000,0.000704,-0.823711,0.001938,-0.567006,-1516.507324,-7.336230,119.698692,1.020078
48,0.192000,0.000008,-0.823691,0.001548,-0.567037,-1516.516479,-7.287277,119.706406,1.025180
49,0.196000,0.000768,-0.823629,0.001399,-0.567127,-1516.544067,-7.361936,119.684990,1.029425
50,0.200000,0.000803,-0.823642,0.001411,-0.567108,-1516.503540,-7.329168,119.692764,1.022745
51,0.204000,0.000326,-0.823657,0.001512,-0.567086,-1516.539795,-7.330183,119.683769,1.022734
52,0.208000,0.000400,-0.823653,0.001208,-0.567093,-1516.526855,-7.339853,119.697746,1.030373
53,0.212000,0.001285,-0.823669,0.001486,-0.567068,-1516.536499,-7.353662,119.706017,0.979974
54,0.216000,0.000340,-0.823710,0.001417,-0.567009,-1516.521362,-7.288990,119.712257,1.025958
55,0.220000,0.001111,-0.823729,0.001721,-0.566980,-1516.521973,-7.364031,119.681877,1.034572
56,0.224000,0.000265,-0.823855,0.001822,-0.566797,-1516.387451,-7.197336,119.630219,1.191656
57,0.228000,0.001121,-0.823773,0.002317,-0.566914,-1516.513306,-7.285267,119.687218,1.014945
58,0.232000,0.000837,-0.823730,0.002049,-0.566978,-1516.525757,-7.359323,119.705544,0.992382
59,0.236000,0.000111,-0.823905,0.002264,-0.566724,-1516.366089,-7.160501,119.646942,1.190227
60,0.240000,0.000039,-0.823919,0.002352,-0.566703,-1516.409790,-7.216997,119.634010,1.203086
61,0.244000,0.000841,-0.823705,0.001774,-0.567015,-1516.554688,-7.377517,119.690948,0.991936
62,0.248000,-0.000163,-0.823635,0.001601,-0.567118,-1516.510132,-7.253820,119.728271,0.985332
63,0.252000,-0.000495,-0.823647,0.001836,-0.567100,-1516.494385,-7.271008,119.713448,1.029594
64,0.256000,0.000775,-0.823655,0.001148,-0.567090,-1516.527832,-7.356811,119.689201,1.012246
65,0.260000,-0.000041,-0.823786,0.001993,-0.566898,-1516.386353,-7.180882,119.649178,1.218262
66,0.264000,0.000746,-0.823755,0.001721,-0.566943,-1516.541504,-7.348557,119.681335,1.018526
67,0.268000,0.000268,-0.823708,0.002253,-0.567010,-1516.515869,-7.282576,119.709358,1.005269
68,0.272000,0.000924,-0.823674,0.001762,-0.567060,-1516.512573,-7.309121,119.689644,1.022554
69,0.276000,0.000226,-0.823724,0.002163,-0.566987,-1516.507446,-7.292828,119.692513,1.021170
70,0.280000,0.000076,-0.823711,0.001994,-0.567006,-1516.488037,-7.270064,119.690102,1.046053
71,0.284000,0.000309,-0.823660,0.001785,-0.567080,-1516.532715,-7.324152,119.689278,1.034167
72,0.288000,0.001048,-0.823887,0.002314,-0.566748,-1516.375244,-7.196446,119.652702,1.178253
73,0.292000,0.001042,-0.823872,0.002119,-0.566770,-1516.379395,-7.201570,119.652245,1.180375
74,0.296000,0.000740,-0.823748,0.001995,-0.566952,-1516.490234,-7.258140,119.709946,0.984828
75,0.300000,0.001322,-0.823624,0.001523,-0.567132,-1516.553589,-7.376547,119.681541,0.987666
76,0.304000,0.001181,-0.823779,0.001828,-0.566907,-1516.536377,-7.319906,119.693970,1.010322
77,0.308000,0.000834,-0.823711,0.001993,-0.567006,-1516.518677,-7.327443,119.708145,1.004327
78,0.312000,0.001111,-0.823674,0.001425,-0.567061,-1516.518433,-7.334422,119.683861,1.021979
79,0.316000,0.001196,-0.823650,0.001417,-0.567095,-1516.535156,-7.395640,119.683739,0.993370
80,0.320000,0.000543,-0.823676,0.001990,-0.567057,-1516.498169,-7.287322,119.705185,1.012378
81,0.324000,-0.000123,-0.823834,0.002147,-0.566827,-1516.381470,-7.176687,119.663033,1.184843
82,0.328000,0.000999,-0.823842,0.002498,-0.566813,-1516.507446,-7.314907,119.707298,1.020138
83,0.332000,0.000698,-0.823575,0.001220,-0.567205,-1516.527832,-7.318100,119.690765,1.024053
84,0.336000,0.000737,-0.823669,0.001757,-0.567067,-1516.501221,-7.312810,119.702972,0.988073
85,0.340000,0.002292,-0.823807,0.001746,-0.566863,-1516.527588,-7.396400,119.695084,1.010493
86,0.344000,0.001021,-0.823602,0.001589,-0.567165,-1516.549316,-7.367193,119.705574,0.997584
87,0.348000,0.001283,-0.823730,0.001563,-0.566979,-1516.535278,-7.360909,119.702133,0.995258
88,0.352000,0.000671,-0.823763,0.001935,-0.566930,-1516.526489,-7.352513,119.697075,0.995766
89,0.356000,0.001572,-0.823695,0.001424,-0.567029,-1516.541748,-7.386254,119.677116,1.030139
90,0.360000,0.000468,-0.823735,0.001384,-0.566973,-1516.515503,-7.344748,119.671814,1.038845
91,0.364000,0.001087,-0.823687,0.001342,-0.567042,-1516.522461,-7.329644,119.693840,1.012169
92,0.368000,0.000084,-0.823650,0.001954,-0.567096,-1516.531250,-7.327346,119.702621,1.017780
93,0.372000,0.000722,-0.823677,0.001544,-0.567056,-1516.552856,-7.345128,119.693199,1.010643
94,0.376000,-0.000436,-0.823617,0.001491,-0.567145,-1516.543091,-7.350186,119.695442,1.017681
95,0.380000,0.000950,-0.823732,0.001809,-0.566976,-1516.540405,-7.357049,119.701767,1.012805
96,0.384000,0.001371,-0.823760,0.002026,-0.566933,-1516.553833,-7.360710,119.703629,0.990351
97,0.388000,-0.000171,-0.823710,0.001911,-0.567008,-1516.539185,-7.305952,119.696869,1.034472
98,0.392000,0.000644,-0.823700,0.001571,-0.567024,-1516.545410,-7.345917,119.689156,1.011031
99,0.396000,0.001132,-0.823717,0.001815,-0.566997,-1516.514038,-7.304630,119.710434,1.018075
100,0.400000,0.000399,-0.823813,0.002072,-0.566858,-1516.418091,-7.195649,119.644051,1.190685
101,0.404000,0.001141,-0.823627,0.001834,-0.567128,-1516.523926,-7.317384,119.710793,0.995060
102,0.408000,0.000648,-0.823680,0.001513,-0.567053,-1516.525513,-7.343943,119.696991,1.024276
103,0.412000,0.000877,-0.823667,0.001433,-0.567071,-1516.535400,-7.364447,119.697166,1.024733
104,0.416000,-0.000058,-0.823671,0.001891,-0.567065,-1516.505127,-7.241113,119.702446,1.011745
105,0.420000,0.000265,-0.823684,0.001959,-0.567046,-1516.525635,-7.288180,119.711761,1.018970
106,0.424000,0.000699,-0.823727,0.001770,-0.566983,-1516.520142,-7.294611,119.708206,0.981521
107,0.428000,0.000679,-0.823736,0.002011,-0.566969,-1516.529053,-7.292521,119.715042,1.020965
108,0.432000,0.000056,-0.823866,0.002128,-0.566781,-1516.400757,-7.161166,119.653152,1.197586
109,0.436000,0.000883,-0.823595,0.001684,-0.567176,-1516.540405,-7.351510,119.686134,0.989030
110,0.440000,0.000323,-0.823722,0.001957,-0.566990,-1516.532959,-7.349356,119.709305,1.014433
111,0.444000,0.001766,-0.823795,0.001774,-0.566883,-1516.524902,-7.380205,119.696426,1.008220
112,0.448000,0.000547,-0.823665,0.001797,-0.567074,-1516.497070,-7.291711,119.701881,1.012117
113,0.452000,0.001133,-0.823694,0.001724,-0.567030,-1516.541138,-7.363130,119.696404,0.998444
114,0.456000,0.001757,-0.823675,0.001345,-0.567057,-1516.548340,-7.387759,119.690735,0.995839
115,0.460000,0.000603,-0.823558,0.001421,-0.567230,-1516.524414,-7.311315,119.700577,1.024021
116,0.464000,0.000278,-0.823807,0.002252,-0.566865,-1516.410645,-7.186640,119.660057,1.200018
117,0.468000,0.000452,-0.823688,0.001683,-0.567041,-1516.525146,-7.320397,119.708221,0.996995
118,0.472000,0.001026,-0.823657,0.001365,-0.567086,-1516.546875,-7.395436,119.694611,0.999095
119,0.476000,0.000114,-0.823665,0.001590,-0.567074,-1516.506470,-7.280881,119.706085,1.014027
120,0.480000,0.000010,-0.823875,0.002632,-0.566765,-1516.410645,-7.175173,119.650414,1.188771
121,0.484000,0.000939,-0.823745,0.002051,-0.566956,-1516.527710,-7.299109,119.716995,1.009368
122,0.488000,0.000572,-0.823677,0.001560,-0.567057,-1516.529175,-7.296387,119.688965,1.010373
123,0.492000,0.001697,-0.823803,0.002352,-0.566869,-1516.532593,-7.379695,119.706413,1.002218
124,0.496000,0.000914,-0.823586,0.001351,-0.567189,-1516.518677,-7.307745,119.705032,0.996839
125,0.500000,-0.000040,-0.823852,0.002365,-0.566800,-1516.401123,-7.159174,119.656372,1.192562
126,0.504000,0.000977,-0.823752,0.001269,-0.566947,-1516.503906,-7.320774,119.716049,0.997184
127,0.508000,0.000394,-0.823730,0.002064,-0.566978,-1516.515991,-7.239037,119.715561,1.013783
128,0.512000,0.001138,-0.823773,0.001885,-0.566915,-1516.506348,-7.272332,119.703697,1.017706
129,0.516000,0.000649,-0.823776,0.002000,-0.566912,-1516.522705,-7.301772,119.696190,1.018682
130,0.520000,0.001141,-0.823711,0.001992,-0.567005,-1516.503784,-7.300024,119.701660,0.993720
131,0.524000,0.001437,-0.823766,0.001854,-0.566925,-1516.535156,-7.323938,119.707336,0.994449
