TIMESTAMPms	M81GYROx	M81GYROy	M81OPTICALFLOWflowcompmx	M81OPTICALFLOWflowcompmy	M81OPTICALFLOWflowx	M81OPTICALFLOWgrounddistance
12	-0.00108813	-0.000286913	-0.135598	0.456221	5930	-0.879263
18	-0.00115521	-0.000266269	-0.0355248	-0.0268012	6280	-0.997315
24	-0.00107493	-0.000346411	-0.632211	-0.55528	6550	-0.538753
31	-0.000999997	-0.000307437	-0.0355596	-0.0748213	6370	-0.996561
37	-0.000786115	-0.000324204	-0.699465	-0.548965	5960	-0.45388
43	-0.000566911	-0.000329516	-0.723475	-0.466355	5940	-0.505687
49	-0.000363761	-0.000338645	-0.00586768	0.0747104	5930	-0.99549
55	-0.000239274	-0.000450846	-0.545237	-0.701266	5970	-0.458506
61	-0.000127015	-0.000497375	-0.511249	0.0744696	6010	-0.854224
67	-0.000123948	-0.000511832	-0.474285	0	5940	-0.880207
72	-0.000164401	-0.000452991	-0.719828	-0.449355	5930	-0.527342
78	-0.000144534	-0.000345291	0.00868055	0.0508556	5950	-0.998666
84	-4.9081e-05	-0.000103989	-0.445925	0	5960	-0.89496
90	1.31521e-06	5.48303e-05	-0.732376	0.501268	5980	-0.459711
103	0.000516681	0.000408328	-0.508487	0.618858	13010	0.596809
109	0.000803707	0.000464023	-0.0655867	0.0239778	5990	-0.995862
115	0.00100519	0.000518185	-0.471502	-0.0511834	5940	-0.879909
121	0.00122116	0.000412006	-0.0450213	0.0499885	5950	-0.99773
127	0.00126685	0.000194366	0.0538363	0.0479838	5950	-0.995699
134	0.00117129	-7.66977e-05	-0.501422	-0.0509917	6570	-0.86174
140	0.00088791	-0.000411105	-0.147122	0.476918	6550	-0.866352
146	0.000345732	-0.000588961	0.0723301	0	6130	-0.997378
152	-0.000178831	-0.000636239	-0.899711	0.0753288	5940	-0.429805
158	-0.000919413	-0.000611744	-0.0148269	-0.836634	6040	-0.545927
164	-0.00144996	-0.000601757	-0.0153465	-0.0500217	5940	-0.998626
170	-0.00196441	-0.000592535	-0.190784	0.541529	5940	-0.818548
176	-0.00219556	-0.000522233	-0.178176	0.523854	5940	-0.832776
182	-0.00225489	-0.000541268	-0.521846	-0.0503223	6100	-0.849567
188	-0.00213709	-0.000509147	-0.48386	-0.0269786	5950	-0.872795
194	-0.00170473	-0.000533528	-0.657745	-0.563643	5910	-0.497962
200	-0.00121057	-0.000522786	-0.733766	-0.424767	5920	-0.528516
206	-0.000524061	-0.000383776	-0.543524	-0.0272953	5940	-0.838912
212	5.19987e-07	-0.000330292	-0.177903	0.52305	5920	-0.831497
218	0.000512832	-0.00026078	-0.566513	0.0746775	5950	-0.818599
224	0.000901405	-0.000143937	-0.32664	0.939541	6170	0.0849018
230	0.0012113	4.69533e-05	-0.910401	-0.0742252	5960	-0.402837
236	0.00132418	0.000201177	-0.552602	0.0509872	5940	-0.829849
242	0.00140727	0.000340878	-0.884245	-0.074346	5950	-0.460142
254	0.00136513	0.00036604	-0.508919	-0.0744651	12340	-0.855615
260	0.00130468	0.000253768	-0.526981	0.693624	5920	0.489915
267	0.00124423	0.000165176	-0.209821	-0.476303	6590	-0.853879
273	0.00113798	-2.87711e-05	-0.925719	-0.0240185	6590	-0.377446
280	0.000930192	-0.000251712	0.71438	-0.431175	6600	-0.549453
286	0.000664399	-0.000468522	0.0476228	-0.8355	5960	-0.545803
292	0.000330681	-0.000540245	0.388647	-0.919086	6500	0.0291939
298	-8.08816e-05	-0.000549353	0.0568338	-0.0747056	5920	-0.993884
304	-0.000395438	-0.000498143	-0.486901	0.0272609	6000	-0.87254
310	-0.000760354	-0.000424797	-0.0856181	0.521628	5920	-0.846872
316	-0.00095039	-0.00033008	-0.90681	-0.0508777	5930	-0.418352
322	-0.00109231	-0.000307905	-0.69724	-0.534631	5900	-0.476529
328	-0.00114717	-0.000249084	-0.733417	0.424575	5940	-0.527692
334	-0.0010959	-0.000183398	-0.90681	-0.0508777	5930	-0.418352
340	-0.000983556	-0.000168109	-0.729281	-0.485098	5920	-0.481483
346	-0.000740663	-0.000136025	-0.513462	0.754848	6020	-0.408118
352	-0.000555057	-0.000123032	-0.733632	-0.424753	5930	-0.52725
358	-0.00013202	-2.38601e-06	-0.738349	-0.442589	5910	-0.505548
364	0.000266543	4.49516e-05	-0.738497	-0.442624	5920	-0.506808
370	0.000754396	2.35689e-05	0.0869594	-0.0239778	5940	-0.994223
376	0.00116127	-4.43854e-05	-0.731511	-0.500676	5920	-0.459168
382	0.00147648	-0.000117677	-0.897947	0.0751893	5940	-0.429715
388	0.00166034	-0.000174165	-0.659195	0.489025	5990	-0.569275
400	0.00134026	-0.00015277	-0.25222	-0.965725	12410	-0.0195402
406	0.00094616	-0.00019093	-0.514293	-0.0748085	5930	-0.853892
412	0.000440625	-0.000124485	-0.33036	-0.941812	5980	-0.021898
418	3.74503e-05	-0.000221438	0.0272681	-0.0748641	5930	-0.99682
424	-0.000422947	-0.000387097	-0.743827	-0.460881	5910	-0.482999
430	-0.000651193	-0.0005138	-0.209821	0.476303	6520	-0.853879
437	-0.000802302	-0.000755016	-0.747418	0.477584	6500	-0.460716
443	-0.00095645	-0.00110386	-0.723475	0.466355	5920	-0.505687
449	-0.000961698	-0.00128623	-0.28759	0.49226	5940	-0.819506
454	-0.00105017	-0.00150523	-0.716651	0.526972	5930	-0.455812
460	-0.00107831	-0.00195249	-0.716651	0.526972	5930	-0.455812
466	-0.00117059	-0.00209202	0.483211	-0.0748666	6030	-0.870358
473	-0.00117582	-0.00211853	-0.87714	0.050789	6590	-0.473989
480	-0.00131008	-0.00209541	-0.654751	-0.468736	6510	-0.591027
485	-0.00139469	-0.00201962	-0.497224	-0.050807	5920	-0.865657
491	-0.0014396	-0.00191787	0.713605	-0.430703	5940	-0.549441
497	-0.00133944	-0.0018001	-0.576469	0.63431	5920	0.513627
503	-0.0012851	-0.00176022	-0.884958	-0.0263872	5930	-0.461273
509	-0.00108722	-0.00155313	-0.882549	0.194439	6000	0.424168
515	-0.00110314	-0.00128117	-0.0153206	0.0499372	5950	-0.99694
521	-0.00116488	-0.000985561	0.0140418	0.0502675	5920	-0.998632
527	-0.00133808	-0.000556373	0.856544	-0.023997	5910	-0.514208
533	-0.00161815	8.8845e-05	0.448186	0	5960	-0.893778
539	-0.00200127	0.00064085	0.0499318	0	5930	-0.998748
552	-0.00347005	0.0013142	0.087646	-0.482391	12790	-0.869618
558	-0.00408204	0.00100408	0.165925	-0.453648	6560	-0.873666
565	-0.00481536	-5.95799e-05	0.870103	0.0752452	6630	-0.486216
572	-0.00524549	-0.00146977	-0.893077	0.202329	6650	0.39761
578	-0.00502279	-0.00307375	0.89417	0	5980	-0.447272
584	-0.00425267	-0.00467756	-0.896058	-0.176026	5990	0.407515
589			0.0421417	0.0508811	5970	-0.997815
590	-0.00311462	-0.00601705				
595	-0.00199425	-0.00686699	-0.875553	0.476728	5930	-0.0526362
601	-0.000785422	-0.00723355	-0.620435	-0.601255	5990	0.502052
607	0.000109485	-0.00695033	0.565438	-0.0746162	5900	-0.821366
613	0.00101957	-0.00568069	-0.806432	-0.275422	5950	-0.521369
619	0.0017196	-0.00393246	-0.812591	0.155635	5910	-0.5597
625	0.00256463	-0.00131171	-0.577782	-0.0505963	5930	-0.814595
631	0.0032103	0.000881205	-0.90681	-0.0508777	6010	-0.418352
637	0.00401624	0.00325791	-0.866887	0.488901	5920	-0.0782192
643	0.00468925	0.00443109	-0.901275	-0.0273834	5930	-0.43225
649	0.00539884	0.00498801	-0.899711	-0.0753288	5930	-0.429805
655	0.00579914	0.00497071	-0.572564	-0.667824	5950	-0.474226
661	0.00608106	0.00439987	0.512303	-0.697483	5960	-0.49975
667	0.00595218	0.00353973	-0.539671	0.0751393	5990	-0.836496
673	0.00542095	0.00220095	-0.914103	0.0240185	6020	-0.404767
679	0.00460499	0.00105623	-0.731511	0.500676	5950	-0.459168
