TIMESTAMPms	M81GYROx	M81GYROy	M81GYROz	M81OPTICALFLOWflowcompmx	M81OPTICALFLOWflowcompmy	M81OPTICALFLOWflowx	M81OPTICALFLOWgrounddistance
10	-1.76703e-05	-0.000157754	-3.43341e-05	-0.0346748	-0.0395642	5160	-0.996921
16	-5.88978e-05	-0.000123381	-9.38841e-05	-0.9943	0	5220	0.0896213
21	2.95204e-06	-0.000136348	-7.78411e-05	0.127905	0.263452	5200	-0.954386
26	-1.15549e-05	-0.000131753	-9.15764e-05	0.458787	0.024016	5220	-0.88811
31	-2.91143e-05	-9.96729e-05	-7.62971e-05	0.164519	0.4582	5230	-0.873001
36				0.231057	-0.508738	5200	-0.827295
37	5.24632e-06	-0.000151581	-8.0107e-05				
42	-3.0639e-05	-0.000104992	-0.000106058	0.458787	0.024016	5230	-0.88811
47	-3.9798e-05	-0.000203474	-8.3189e-06	0.016114	0.0761553	5310	-0.996956
58	-3.59765e-05	-0.0001439	-7.39795e-05	-0.700321	-0.549637	10830	-0.454436
63	4.49291e-06	-0.000122508	-8.46612e-05	-0.610739	-0.236471	4740	-0.755045
68	2.20531e-05	-0.00011486	-0.000104504	-0.522979	0.0119901	5190	-0.850275
73	-3.29215e-05	-0.000107214	-7.85342e-05	-0.652992	-0.548107	5230	-0.521027
78	-1.00131e-05	-0.000133162	-6.40198e-05	0.278509	-0.0628783	5230	-0.956607
83	-1.61201e-05	-0.000142311	-7.01214e-05	-0.556401	-0.0626591	5220	-0.826505
89	-1.76455e-05	-9.4196e-05	-7.01144e-05	-0.949763	-0.288277	5690	-0.107265
94	-2.68058e-05	-0.000133125	-5.48373e-05	-0.593029	-0.41351	4880	-0.688438
99	-1.38235e-05	-0.000146855	-7.54464e-05	-0.296561	0.495037	5090	-0.814622
105	6.84445e-07	-0.000152949	-4.48987e-05	0.359029	0.430818	5570	-0.827806
110	-2.37478e-05	-0.00011094	-8.00154e-05	-0.398664	-0.489304	5320	-0.774813
115	1.29028e-05	-0.000126963	-8.76425e-05	-0.469741	-0.294166	5240	-0.830318
120	-2.68007e-05	-0.000117025	-8.76337e-05	-0.673267	-0.50348	4980	-0.538372
125	-2.3659e-06	-0.000135337	-5.86117e-05	0.210622	0.430783	5040	-0.877066
130	-3.90139e-05	-0.00012158	-0.000118923	0.0390517	-0.290143	5150	-0.956016
136	-2.90845e-05	-0.000113933	-7.08101e-05	0.526716	0.051313	5250	-0.848461
141	-6.11488e-05	-0.00012232	-9.52352e-05	-0.875057	-0.356381	5200	-0.32232
146	-7.6973e-06	-0.000129943	-9.59891e-05	0.421124	-0.496334	5220	-0.756921
151	-9.22355e-06	-0.000129167	-8.4527e-05	0.747418	0.477584	5210	-0.460716
157	2.28446e-05	-0.000108539	-6.69579e-05	-0.687863	-0.545025	5210	-0.475831
162	-3.97651e-05	-0.000122271	-0.000115816	0.291435	-0.54496	5230	-0.785591
167	-3.21261e-05	-9.01919e-05	-0.000104351	0.747418	-0.477584	5290	-0.460716
172	6.05235e-06	-0.000146682	-0.000111212	-0.768339	5.05675e-10	5110	-0.638692
177	-2.9833e-05	-0.000151249	-8.98232e-05	0.123663	-0.459471	5250	-0.877617
183	3.9649e-05	-0.000114585	-0.000131807	0.893167	-3.81893e-10	5220	-0.445953
188	-2.5253e-05	-0.00011152	-8.0639e-05	0.158286	0.471627	5220	-0.865525
193	1.97964e-05	-0.000106164	-4.93272e-05	0.11953	0.53046	5230	-0.837224
204	-2.34729e-06	-0.000139748	-9.43691e-05	-0.147122	-0.476918	10830	-0.866352
209	-6.16458e-06	-0.000118356	-0.000114211	0.195028	0.453036	4940	-0.869427
214	-2.06706e-05	-0.000110709	-5.46459e-05	0.30241	0.437797	5090	-0.846663
219	-2.37225e-05	-9.84816e-05	-0.000107322	-0.920278	0	5230	-0.391263
224	-1.53216e-05	-0.000142755	-6.68458e-05	0.148411	0.480045	5200	-0.864102
230	-1.0739e-05	-0.000123653	-0.000114176	0.482067	0.0335384	5220	-0.873561
235	-2.33943e-06	-0.0001496	-9.27869e-05	-0.277166	-0.448246	5220	-0.847864
240	2.24184e-06	-8.69775e-05	-7.44535e-05	0.237877	0.485566	5240	-0.841117
245	-5.39344e-06	-0.00013736	-0.000130182	-0.157946	0.543105	5240	-0.824611
251	-1.07374e-05	-0.000132765	-8.74126e-05	-0.38581	-0.523088	5480	-0.757728
256	-1.14999e-05	-0.000171691	-0.00011489	-0.195028	0.453036	5290	-0.869427
261	1.29334e-05	-0.000145715	-6.37237e-05	-0.702441	0.448044	4840	-0.549963
266	-3.51687e-05	-0.000133484	-7.13524e-05	-0.909849	0.0135465	5220	-0.410622
271	-1.30235e-05	-0.000109802	-0.000139297	0.719177	-0.448904	5240	-0.52862
277	-1.45492e-05	-0.000122007	-0.000137756	-0.690631	0.439053	5390	-0.572709
282	-5.19595e-05	-0.000160934	-0.000118655	0.587536	0.27628	5480	-0.75835
287				-0.7154	0.436673	5270	-0.54235
288	-2.44682e-05	-0.000146411	-7.05422e-05				
293	-2.75197e-05	-0.00011891	-8.65687e-05	-0.675609	0.462901	5100	-0.571848
297	1.06583e-05	-0.000140276	-0.000117864	0	0	4850	-0.998788
303	1.60018e-05	-0.000107432	-8.73118e-05	-0.0623094	-0.203117	5200	-0.975438
308	-1.3013e-05	-0.000137961	-9.57016e-05	0.130405	0.500413	5230	-0.855664
313	-1.75928e-05	-0.000110461	-7.27869e-05	-0.70632	0.442681	5210	-0.549336
318	2.28748e-05	-0.000107396	-0.000109428	-0.15263	-0.476335	5210	-0.863961
324	2.43995e-05	-0.000111203	-9.87278e-05	-0.133304	0.501044	5260	-0.855025
329	-4.9663e-05	-0.000125698	-7.96303e-05	0.282143	0.413856	5200	-0.865026
334	-3.01682e-08	-0.000119578	-7.27508e-05	0.324522	0.267745	5340	-0.907112
339	-2.98069e-05	-0.000124147	-6.2818e-05	-0.0569301	-0.0748322	5120	-0.995569
344	-5.88171e-05	-0.000132533	-9.79329e-05	0.3585	0.504636	5200	-0.783225
355	-3.05615e-05	-8.51822e-05	-4.60048e-05	0.0715148	0.0508275	10840	-0.996143
360	8.38031e-06	-0.000111896	-5.82163e-05	0.285744	0.510374	4780	-0.810916
365	-4.58294e-05	-0.000141662	-8.72236e-05	0.27622	0.525222	5240	-0.802786
371	-1.98657e-05	-0.000140121	-7.11813e-05	-0.0273197	-0.0268894	5230	-0.999264
376	-7.76036e-07	-9.9641e-05	-5.43771e-05	0.72825	-0.445404	5690	-0.517582
381	-2.29176e-05	-0.00014086	-7.65133e-05	0.337599	0.499315	5200	-0.797575
386	-2.59693e-05	-0.000124049	-8.03232e-05	-0.744043	0.0375191	5010	-0.66454
391	2.74786e-05	-0.000117165	-0.000107038	0.539937	-0.0127404	4960	-0.839598
397	-2.826e-05	-0.000124788	-7.11424e-05	-0.0758547	0.834026	5220	-0.544574
402	-1.90951e-05	-8.88912e-05	-9.63309e-05	-0.0127322	-0.0508907	5220	-0.998622
407	-4.04714e-05	-0.000100335	-7.34161e-05	0.89345	-0.00799329	5240	-0.445312
412	-2.13797e-05	-0.000143081	-0.000110057	-0.00381223	-0.0687401	5240	-0.995931
418	-1.37425e-05	-0.000110236	-9.783e-05	0	0	6200	0
423	2.59611e-05	-0.000143819	-7.87325e-05	-0.0272681	-0.0748641	4890	-0.99682
428	-8.3992e-06	-0.000132352	-8.25422e-05	0.51348	-0.0240076	4520	-0.857271
433	-5.42087e-05	-0.000139974	-0.000114601	-0.719177	0.448904	5220	-0.52862
438	7.64067e-06	-0.000128508	-8.09955e-05	-0.0355849	-0.0268466	5220	-0.999004
444	-3.05354e-05	-9.8718e-05	-0.000128325	0	0	5730	0
449	-1.83162e-05	-0.000110924	-9.54811e-05	0.244438	-0.966185	4720	0.0579943
454	-1.51728e-06	-9.94606e-05	-7.9438e-05	-0.0501417	-0.0508245	5270	-0.997446
459	-3.89289e-05	-0.000142207	-9.69906e-05	-0.0205912	0.0400479	5180	-0.998982
464	-9.9118e-06	-0.000109362	-7.71298e-05	0.280337	-0.95753	5170	0.0342948
470	1.47588e-08	-0.000143709	-2.13862e-05	0.390373	-0.415538	5230	-0.821156
475	-3.7397e-05	-0.000158201	-8.24645e-05	0.496308	-0.0667004	5250	-0.863626
480	3.07251e-06	-0.000138334	-9.00913e-05	0.463029	0.0257311	5190	-0.885505
485	-1.75424e-05	-0.000161989	-4.80895e-05	0.485607	-0.0749701	5240	-0.870522
491	-7.4357e-07	-0.000124561	-0.000120618	0.0395059	-0.0119901	5190	-0.997454
496	-4.19728e-05	-0.00011615	-8.31939e-05	-0.680996	0.509384	5290	-0.524385
507	2.42025e-08	-0.000129881	-6.40979e-05	-0.132547	-0.50458	10830	-0.85313
511	-6.48738e-05	-0.000143611	-0.000111429	-0.24468	0.483698	4780	-0.838323
517	-1.06584e-05	-0.000114584	-0.000112181	0.0296203	8.36585e-10	5190	-0.999558
522	1.60654e-05	-0.000120681	-8.16298e-05	0.497863	-0.0746783	5240	-0.862076
527	1.68272e-05	-0.000113797	-5.87164e-05	-0.831175	0.303535	5220	-0.465091
532	-1.90592e-05	-0.000121421	-9.30683e-05	-0.691861	-0.515918	5200	-0.503358
538	-2.59288e-05	-0.00012828	-7.01538e-05	-0.90837	0	5550	-0.418166
543	-2.74533e-05	-0.000138193	-0.000102978	-0.675609	-0.462901	5360	-0.571848
548	7.67073e-06	-0.000101531	-7.70081e-05	0.298219	-0.358055	4930	-0.884622
553	2.14131e-05	-9.923e-05	-9.9142e-05	0.309192	0.425095	5050	-0.848713
558	-4.95951e-05	-0.000134341	-9.60781e-05	-0.913466	-0.0264014	5250	-0.405946
564	-3.20295e-05	-0.00014578	-7.62173e-05	-0.278937	0.503134	5660	-0.817857
569	-2.13372e-05	-0.000122861	-8.46083e-05	0.0607429	-0.820514	5210	-0.566411
574	-2.97337e-05	-0.000130483	-8.76538e-05	0.490636	-0.01199	4980	-0.869339
579	9.20806e-06	-0.000126653	-0.000122766	-0.491735	-0.0628158	5040	-0.866529
584	-9.88049e-06	-0.000121296	-6.93087e-05	-0.461374	-0.592349	5140	-0.65953
590	-3.50752e-05	-0.000103723	-9.37339e-05	-0.739096	-0.488896	5240	-0.459715
595	1.60832e-05	-0.000102949	-8.91435e-05	-0.691443	-0.517005	5220	-0.502836
600	-3.35463e-05	-0.000133479	-0.000109749	0.0236999	-0.0789898	5210	-0.994896
605	-3.04889e-05	-0.000112851	-7.07995e-05	-0.0901647	-0.695094	5230	-0.710869
611	-2.74319e-05	-0.000123529	-9.1407e-05	0.472059	0	5220	-0.881455
616	-4.34627e-05	-0.000141841	-7.23103e-05	0.327398	0.478696	5210	-0.814417
621	-2.13167e-05	-9.75431e-05	-0.000109715	0.270935	-0.42998	5280	-0.860858
626	-2.99049e-06	-0.000139526	-0.000105886	0.299599	-0.0627582	5170	-0.950221
631	-8.33472e-06	-0.000135695	-8.3734e-05	-0.0338273	-0.0412651	5220	-0.998574
637	-3.42931e-05	-0.000133391	-7.91446e-05	-0.768331	-0.372693	5200	-0.517099
642	-4.95597e-05	-0.000118871	-9.74608e-05	0.402471	0.310679	5230	-0.859138
647	-3.73387e-05	-0.000129548	-0.000125701	0.0617724	0.00599643	5240	-0.996377
658	-1.21393e-05	-0.000144805	-0.000111182	-0.90681	0.0508777	10870	-0.418352
663	3.74897e-05	-0.000137155	-9.81909e-05	-0.465764	-0.258006	4750	-0.846136
668	-2.7412e-05	-0.000110419	-9.51271e-05	-0.716798	-0.525782	5220	-0.456887
673	1.76376e-05	-0.000139421	-9.13e-05	-0.00413087	0.0240185	5220	-0.999703
678	2.3657e-06	-7.98538e-05	-8.74734e-05	0.0575531	0	5220	-0.996647
684	-4.72624e-05	-0.000163831	-9.35727e-05	-0.0871065	0.0240184	5250	-0.995906
689	6.18773e-06	-0.000118768	-6.98947e-05	-0.0467586	-0.0240184	5190	-0.998612
694	-3.50422e-05	-0.000124864	-8.13402e-05	0.509571	-0.0745604	5220	-0.85671
699	-2.20591e-05	-0.000131723	-7.44606e-05	0.513768	-0.0512451	5300	-0.854421
705	-4.87796e-05	-0.000124075	-5.7656e-05	-0.0785823	0	5600	-0.995211
710	-5.64097e-05	-0.000129407	-7.59744e-05	0.0871065	-0.0240184	5210	-0.995906
715	9.25735e-06	-9.80906e-05	-6.37507e-05	0.207696	0.521116	5240	-0.827774
721	-5.56415e-05	-0.000121749	-6.45078e-05	0.0266465	-0.654895	5200	-0.754575
