TIMESTAMPms	M81GYROx	M81GYROy	M81GYROz	M81OPTICALFLOWflowcompmx	M81OPTICALFLOWflowcompmy	M81OPTICALFLOWflowx	M81OPTICALFLOWgrounddistance
11	7.40708e-06	-2.24015e-05	1.00411e-05	-0.562343	-0.0744965	5210	-0.821485
16	-6.28362e-05	1.80665e-05	4.69559e-06	-0.540412	0.027252	5230	-0.838946
21	-2.23641e-05	3.55814e-06	1.99652e-05	-0.563077	0.0266086	5230	-0.823926
26	-1.09093e-05	-2.31649e-05	4.51589e-05	-0.511944	0.0748025	5200	-0.855255
31	-3.07593e-05	-2.39261e-05	5.45211e-06	-0.512601	0.0268547	5220	-0.857707
37	-4.06818e-05	1.11975e-05	6.97858e-06	-0.211365	0.475143	5230	-0.852164
42	-3.68602e-05	-2.46883e-05	-3.11974e-05	-0.539257	0.0271077	5280	-0.841675
47	-2.235e-05	-4.22465e-05	2.60686e-05	-0.496992	0	5160	-0.865804
52	-2.76923e-05	-3.68977e-05	1.46134e-05	0.119273	0.435169	5210	-0.892224
58	-5.97567e-05	-1.32254e-05	1.7666e-05	-0.471502	0.0511834	5220	-0.879909
63	-5.51697e-05	2.04606e-06	1.03617e-07	-0.511297	0.0747081	5220	-0.854175
68	-2.69145e-05	-1.09337e-05	-2.18691e-06	-0.540412	0.027252	5220	-0.838946
73	-5.1344e-05	-8.64213e-06	8.50238e-06	-0.499622	-0.0510521	5240	-0.864242
84	-0.000131507	-2.39114e-05	-1.44036e-05	-0.511953	0.0268208	11170	-0.856624
89	-7.19404e-05	-1.9328e-05	-1.97467e-05	-0.220157	0.541415	4870	-0.811225
94	-4.9028e-05	-1.6272e-05	7.74144e-06	-0.563077	-0.0266086	4810	-0.823926
99	-4.97866e-05	-2.69594e-05	3.15964e-06	-0.471502	-0.0511834	5220	-0.879909
105	-4.90182e-05	1.73266e-05	1.63231e-06	-0.563282	0.0746209	5210	-0.822858
110	-5.66483e-05	-2.9249e-05	-9.05693e-06	-0.530209	0	5220	-0.847809
115	-5.58791e-05	1.12197e-05	-1.211e-05	-0.497224	0.050807	5220	-0.865657
120	5.20687e-06	-2.77202e-05	-2.35614e-05	-0.471502	-0.0511834	5220	-0.879909
125	-3.44959e-05	1.50389e-05	-1.5924e-05	-0.564514	0.0240135	5220	-0.824845
131	-7.26677e-05	1.73279e-05	-7.52385e-06	0.537623	0.0749503	5600	-0.837831
136	-1.23436e-05	2.11437e-05	-4.49349e-05	-0.577782	-0.0505963	5290	-0.814595
142	-3.4484e-05	2.64861e-05	-2.17407e-06	-0.19142	0.543334	5270	-0.81721
147	-5.89127e-05	-8.63778e-06	9.27873e-06	-0.538358	0.0270625	4980	-0.840271
151	-4.13462e-05	-2.0853e-05	-3.70179e-06	-0.48386	-0.0269786	4950	-0.872795
157	-1.69099e-05	-2.77225e-05	4.69714e-06	-0.823183	0.2633	5220	0.502018
162	-8.40967e-05	-3.45912e-05	-6.47871e-07	-0.488718	0.0752173	5210	-0.868749
167	-2.91159e-05	-4.37499e-05	-2.6607e-05	-0.486901	-0.0272609	5360	-0.87254
172	2.19073e-06	-2.54213e-05	-3.27124e-05	0.545248	0.701752	5080	-0.457763
178	-3.90388e-05	-2.92363e-05	6.99318e-06	-0.499622	0.0510521	5230	-0.864242
183	-5.7359e-05	1.50499e-05	-3.42368e-05	-0.471502	-0.0511834	5210	-0.879909
188	-4.81912e-05	-2.00729e-05	-8.2742e-06	-0.526716	0.051313	5230	-0.848461
193	-6.04025e-05	-1.70168e-05	6.23322e-06	-0.587872	-0.0239774	5230	-0.806505
198	-5.65789e-05	-7.85306e-06	1.84487e-05	-0.575785	0.0504121	5210	-0.816014
204	-6.26813e-05	4.33026e-05	-2.27824e-05	-0.497785	0	5200	-0.867186
209	-8.93977e-05	-2.84712e-05	2.83747e-05	0.66999	-0.445251	5250	-0.591177
214	-6.80106e-05	-9.38077e-06	2.41267e-06	-0.563077	0.0266086	5200	-0.823926
219	-5.96053e-05	-1.70149e-05	-5.22263e-06	-0.537158	0.0239777	5220	-0.841133
225	-4.89102e-05	-1.74308e-06	9.2845e-06	-0.553527	-0.0510726	5220	-0.831238
235	-4.50878e-05	-8.61445e-06	-5.33239e-05	-0.575785	-0.0504121	10850	-0.816014
240	-4.43198e-05	-6.32308e-06	-3.04134e-05	-0.522514	-0.0503867	4810	-0.850655
245	-2.44643e-05	-2.00655e-05	-3.68765e-06	-0.486901	0.0272609	5230	-0.87254
251	-7.10356e-05	-1.24285e-05	1.30248e-07	-0.551489	0.0508846	5700	-0.832598
256	-1.30021e-05	2.07936e-06	1.31098e-05	-0.575785	0.0504121	5160	-0.816014
261	-2.21629e-05	-2.31165e-05	-2.27762e-05	0.510221	-0.0266111	4770	-0.859151
266	-1.29986e-05	1.5061e-05	1.61648e-05	-0.541316	0.0272976	5230	-0.84035
272	-2.21594e-05	-8.60912e-06	-6.74196e-06	-0.562343	0.0744965	5210	-0.821485
277	-1.45221e-05	2.08081e-06	3.1434e-05	0.210622	0.430783	5210	-0.877066
282	-3.81893e-05	2.49858e-05	8.52567e-06	-0.577782	-0.0505963	5220	-0.814595
287	-9.69754e-05	1.88752e-05	-1.43803e-05	-0.577782	0.0505963	5330	-0.814595
293	-3.51218e-05	-2.50482e-06	1.38708e-05	-0.180024	-0.476581	5590	-0.858535
298	-6.10775e-05	1.27655e-05	3.2957e-05	-0.576816	-0.0505118	4780	-0.813234
303	-3.35852e-05	-1.16679e-05	1.08121e-05	-0.48386	0.0269786	5180	-0.872795
308	-5.9541e-05	-4.03169e-06	3.06621e-05	-0.575785	-0.0504121	5220	-0.816014
313	-6.64066e-05	1.12388e-05	9.28093e-06	0.540575	0.0752651	5240	-0.837896
318	-4.34948e-05	-3.26891e-06	1.00435e-05	-0.654484	-0.468554	5200	-0.591475
324	-2.44028e-05	-7.84962e-06	-1.59167e-05	-0.505039	0	5650	-0.86304
329	-2.28734e-05	-2.15919e-05	-3.04217e-05	-0.918777	-0.0498988	5080	-0.391495
334	-5.34113e-05	-9.75123e-07	-1.66755e-05	-0.511953	0.0268208	4920	-0.856624
339	-3.50818e-05	-2.76977e-05	3.17726e-06	-0.48448	-0.0270131	5220	-0.873912
345	-3.66054e-05	-2.84584e-05	1.64993e-06	-0.552602	-0.0509872	5210	-0.829849
350	-4.04192e-05	-3.60907e-05	-1.40426e-06	-0.669504	-0.444898	5220	-0.591992
355	-6.71379e-05	1.43043e-05	-2.96538e-05	-0.471502	-0.0511834	5220	-0.879909
360	-7.24757e-05	-7.83878e-06	6.9974e-06	-0.471307	0	5220	-0.88005
365	-4.80363e-05	2.19387e-05	-4.18676e-05	-0.589741	0.0239774	5220	-0.805139
371	-5.10855e-05	2.08538e-06	-1.36138e-05	-0.522514	0.0503867	5290	-0.850655
376	-3.27563e-05	-6.28128e-05	-1.13219e-05	0.471502	-0.0511834	5150	-0.879909
387	-6.17662e-05	-2.48958e-06	-1.89558e-05	-0.587872	0.0239774	10830	-0.806505
392	-4.19089e-05	-2.53945e-05	-9.79184e-06	-0.565091	0.0267945	4820	-0.82254
397	-3.04521e-05	-4.14256e-05	2.60939e-05	-0.913731	-0.0264167	5230	-0.40532
402	-1.8233e-05	-1.16447e-05	1.92197e-05	-0.104058	0.45698	5210	-0.883178
407	-3.50283e-05	-3.24499e-06	6.23822e-06	-0.575785	-0.0504121	5240	-0.816014
413	-1.97547e-05	-1.08797e-05	9.29162e-06	0.483211	-0.0748666	5580	-0.870358
418	-5.18199e-05	2.42426e-05	-2.65941e-05	-0.52562	0	5300	-0.850651
423	-5.25783e-05	-7.06353e-06	-2.65914e-05	0.150124	-0.438921	5220	-0.885656
429	-2.50868e-05	2.11869e-05	2.38026e-05	-0.539671	0.0751393	5250	-0.836496
434	-5.6388e-05	5.70109e-07	2.15097e-05	0.483211	-0.0748666	5100	-0.870358
438				-0.564017	0.0266531	4830	-0.825302
439	-3.80583e-05	-9.35551e-06	-2.50663e-05				
444	4.70183e-06	-6.30056e-06	1.0821e-05	-0.579998	-0.0505903	5220	-0.813006
449	-4.95075e-05	-4.77292e-06	9.2929e-06	-0.818063	0.250506	5240	-0.515786
454	-4.79756e-05	-1.4698e-05	-1.66672e-05	0.588758	-0.0240135	5380	-0.807719
459	-4.79708e-05	-1.3933e-05	-1.66655e-05	-0.568277	-0.0268347	5040	-0.822361
465	-4.26214e-05	-8.58711e-06	-1.89544e-05	-0.539824	-0.0749485	5230	-0.836415
470	-9.68261e-05	-1.16403e-05	-2.20065e-05	-0.55057	-0.0507997	5210	-0.83121
475	-6.85667e-05	-9.34859e-06	1.69344e-05	0.175158	0.563213	5210	-0.805437
480	-6.71589e-06	-2.00367e-05	-1.13169e-05	-0.497224	0.050807	5250	-0.865657
485	-5.95171e-06	-1.01092e-05	-3.11669e-05	0.499622	-0.0510521	5210	-0.864242
491	-5.78695e-05	4.10467e-05	-3.11638e-05	-0.489379	-0.0272674	5200	-0.871202
496	-6.24447e-05	-1.46933e-05	2.22847e-05	0.600639	0	5260	-0.799285
501	-2.80807e-05	-2.61444e-05	-1.13118e-05	-0.910401	0.0742252	5190	-0.402837
506	-6.16722e-05	-7.05416e-06	1.8466e-05	-0.559889	-0.625427	5200	0.54036
512	-2.95988e-05	3.57028e-05	1.23561e-05	-0.473941	-0.0514325	5230	-0.878566
517	-6.47171e-05	-2.84352e-05	-2.15169e-06	-0.862014	0.269408	5240	0.429147
522	-8.2112e-06	2.0432e-05	-1.28405e-05	-0.537623	0.0749503	5200	-0.837831
